Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
Itga6	0	0	0	0	7	0	3	10	3	3
Zfp59	0	0	0	0	6	0	0	6	3	3
Vcp	0	1	0	0	0	0	4	5	3	3
Cdv3	0	0	0	0	3	1	0	4	3	3
Rbpj	0	3	0	0	0	0	1	4	3	3
Setd3	0	0	0	0	4	0	0	4	3	3
Ttc14	0	1	0	0	0	1	2	4	3	3
Me1	0	0	0	0	3	0	0	3	3	3
Psat1	0	0	0	0	3	0	0	3	3	3
Rpl23	0	0	0	0	0	0	3	3	3	3
Prr23a1	0	0	2	0	3	0	0	5	2	2
Atf2	0	0	0	1	0	1	2	4	2	2
Pebp1	2	0	0	0	2	0	0	4	2	2
Rpl23a-ps3	0	0	0	0	4	0	0	4	2	2
Tbc1d14	0	1	0	0	2	0	1	4	2	2
Eif4e	0	2	0	0	1	0	0	3	2	2
Hspa8	0	0	0	1	0	0	2	3	2	2
Ube2s	0	0	0	0	0	0	3	3	2	2
Aida	0	0	0	0	0	0	2	2	2	2
Gm28285	0	0	0	0	0	0	2	2	2	2
Hbs1l	0	0	2	0	0	0	0	2	2	2
Mast4	1	0	0	0	0	1	0	2	2	2
Pa2g4	0	0	0	0	2	0	0	2	2	2
Ppig	1	0	0	0	0	0	1	2	2	2
Srsf10	0	0	0	1	0	1	0	2	2	2
Taar7a	0	0	0	0	2	0	0	2	2	2
Upf2	0	2	0	0	0	0	0	2	2	2
Zbtb40	0	0	0	0	2	0	0	2	2	2
Zfp36l1	0	0	0	0	2	0	0	2	2	2
Kcnj14	0	0	0	0	2	0	0	2	1	1
Krtap1-3	0	0	0	0	2	0	0	2	1	1
Necap1	0	2	0	0	0	0	0	2	1	1
Nfyc	0	1	0	0	0	0	1	2	1	1
Olfr373	0	0	0	0	2	0	0	2	1	1
Olfr583	0	0	0	0	2	0	0	2	1	1
Pomp	0	0	0	0	1	0	1	2	1	1
Ran	0	0	0	0	2	0	0	2	1	1
Sap30bp	0	1	0	0	0	0	1	2	1	1
Xpot	0	0	0	0	2	0	0	2	1	1
1700064H15Rik	1	0	0	0	0	0	0	1	1	1
2210016L21Rik	1	0	0	0	0	0	0	1	1	1
5730455P16Rik	0	0	0	0	1	0	0	1	1	1
Acap1	0	0	0	0	1	0	0	1	1	1
Acin1	1	0	0	0	0	0	0	1	1	1
Acox3	0	0	0	0	1	0	0	1	1	1
Adam12	0	0	0	0	1	0	0	1	1	1
Akap6	0	0	0	0	1	0	0	1	1	1
Akr1b3	0	0	0	0	0	0	1	1	1	1
Akr1b7	0	0	0	0	1	0	0	1	1	1
Ankar	1	0	0	0	0	0	0	1	1	1
Aph1a	0	0	0	1	0	0	0	1	1	1
Aplnr	1	0	0	0	0	0	0	1	1	1
Atcay	0	0	1	0	0	0	0	1	1	1
Atg9b	0	1	0	0	0	0	0	1	1	1
Atp5l	0	0	0	0	0	0	1	1	1	1
Bcl9l	0	0	0	0	1	0	0	1	1	1
Bcorl1	0	0	0	0	1	0	0	1	1	1
Brdt	0	0	0	0	0	1	0	1	1	1
Cebpa	0	0	0	0	1	0	0	1	1	1
Celf2	0	0	0	0	0	0	1	1	1	1
Cfap43	1	0	0	0	0	0	0	1	1	1
Chd4	1	0	0	0	0	0	0	1	1	1
Cma1	0	0	0	0	1	0	0	1	1	1
Cox6a1	0	0	0	0	0	0	1	1	1	1
Cpt1c	0	0	0	0	1	0	0	1	1	1
Cyp2r1	0	0	0	0	0	1	0	1	1	1
Ddx31	0	0	0	0	1	0	0	1	1	1
Dixdc1	0	0	0	0	1	0	0	1	1	1
Dnhd1	0	0	0	0	1	0	0	1	1	1
Dock9	0	0	0	0	0	0	1	1	1	1
Ehf	0	0	0	0	1	0	0	1	1	1
Emc8	0	0	0	0	1	0	0	1	1	1
Enox1	0	0	0	0	1	0	0	1	1	1
Evx1	1	0	0	0	0	0	0	1	1	1
Eya3	0	0	0	0	1	0	0	1	1	1
Fam104a	1	0	0	0	0	0	0	1	1	1
Fam171a2	0	0	0	0	1	0	0	1	1	1
Fam8a1	0	0	0	0	0	1	0	1	1	1
Fbxl6	0	0	0	0	1	0	0	1	1	1
Fgd3	0	0	0	0	1	0	0	1	1	1
Gas7	0	0	0	0	1	0	0	1	1	1
Gm11149	1	0	0	0	0	0	0	1	1	1
Gm3443	0	0	1	0	0	0	0	1	1	1
Gm5422	0	0	1	0	0	0	0	1	1	1
Gm5464	1	0	0	0	0	0	0	1	1	1
Grin2b	0	0	0	0	1	0	0	1	1	1
Gtf3c4	0	0	0	0	1	0	0	1	1	1
Herc1	0	0	0	0	1	0	0	1	1	1
Hhatl	0	0	0	0	1	0	0	1	1	1
Hmmr	0	0	0	1	0	0	0	1	1	1
Hoxc13	1	0	0	0	0	0	0	1	1	1
Ice1	1	0	0	0	0	0	0	1	1	1
Ikzf5	0	0	0	0	1	0	0	1	1	1
Itga1	0	0	0	0	1	0	0	1	1	1
Itpr2	0	0	0	0	0	0	1	1	1	1
Jak3	1	0	0	0	0	0	0	1	1	1
Kansl2	0	0	0	0	0	0	1	1	1	1
Kdm1b	0	1	0	0	0	0	0	1	1	1
Kif17	0	0	0	0	1	0	0	1	1	1
Klra17	0	0	0	0	0	1	0	1	1	1
Ktn1	0	0	0	0	1	0	0	1	1	1
Lamb2	0	0	0	0	1	0	0	1	1	1
Lekr1	0	0	0	0	0	0	1	1	1	1
Lmod3	0	0	0	0	1	0	0	1	1	1
Lrfn5	0	0	0	0	1	0	0	1	1	1
Lrrc26	0	0	0	0	1	0	0	1	1	1
Lrrc8b	0	0	0	0	1	0	0	1	1	1
Magel2	0	1	0	0	0	0	0	1	1	1
Matr3	0	0	0	0	0	0	1	1	1	1
Mplkip	0	1	0	0	0	0	0	1	1	1
Muc5ac	0	1	0	0	0	0	0	1	1	1
Mvp	0	0	0	0	1	0	0	1	1	1
Myh14	0	0	0	0	1	0	0	1	1	1
Mylk	0	0	0	0	1	0	0	1	1	1
Myo18b	0	0	1	0	0	0	0	1	1	1
Naf1	0	0	0	1	0	0	0	1	1	1
Naip2	0	0	0	0	1	0	0	1	1	1
Ndst3	0	0	0	0	1	0	0	1	1	1
Nemf	1	0	0	0	0	0	0	1	1	1
Nipbl	0	0	0	0	1	0	0	1	1	1
Nnt	0	0	0	0	1	0	0	1	1	1
Olfr1489	1	0	0	0	0	0	0	1	1	1
Pcdh18	0	0	0	0	1	0	0	1	1	1
Pcdhgb5	0	0	0	0	1	0	0	1	1	1
Pcf11	1	0	0	0	0	0	0	1	1	1
Pfkfb3	0	0	0	0	1	0	0	1	1	1
