Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
Itga6	0	1	0	2	5	0	3	11	3	3
Setd3	0	0	0	0	5	0	0	5	3	3
Ube2s	0	0	0	0	0	0	4	4	3	3
Rpl23	0	0	0	0	0	0	3	3	3	3
Hspa8	0	0	0	1	3	0	1	5	2	2
Pebp1	2	0	0	0	2	0	0	4	2	2
Psenen	0	1	0	0	1	0	2	4	2	2
Bpnt1	0	0	0	2	0	0	1	3	2	2
Eif2s3x	0	0	0	0	0	0	3	3	2	2
Prr23a1	0	0	1	0	2	0	0	3	2	2
Zfp59	0	0	0	0	3	0	0	3	2	2
Adam12	0	0	0	1	1	0	0	2	2	2
Aida	0	0	0	0	0	0	2	2	2	2
Apobec2	0	0	0	0	0	2	0	2	2	2
Cables2	0	0	0	0	2	0	0	2	2	2
Eif2s2	0	0	0	2	0	0	0	2	2	2
Evi5	1	0	0	0	1	0	0	2	2	2
Gm11827	0	0	0	0	0	0	2	2	2	2
Hbs1l	0	0	2	0	0	0	0	2	2	2
Mplkip	0	1	0	0	0	0	1	2	2	2
Muc6	0	0	0	0	2	0	0	2	2	2
Naip2	0	0	0	0	2	0	0	2	2	2
Olfr467	0	0	0	0	2	0	0	2	2	2
Rfwd2	0	2	0	0	0	0	0	2	2	2
Tbc1d14	0	0	0	0	2	0	0	2	2	2
Csf3r	0	0	0	0	1	0	1	2	1	1
Fam186b	0	0	0	0	2	0	0	2	1	1
Gm17728	0	0	0	0	2	0	0	2	1	1
Lce3d	0	0	0	0	2	0	0	2	1	1
Lsm5	0	0	0	0	1	0	1	2	1	1
Nfyc	0	1	0	0	0	0	1	2	1	1
Nudt21	0	0	0	1	0	0	1	2	1	1
Rbm10	0	0	0	0	1	0	1	2	1	1
Rbpj	0	1	0	1	0	0	0	2	1	1
Smarca5	0	1	0	0	1	0	0	2	1	1
Tomt	0	0	0	0	2	0	0	2	1	1
3632451O06Rik	0	0	0	0	1	0	0	1	1	1
9330182L06Rik	0	0	0	0	1	0	0	1	1	1
Adgrb1	0	0	0	0	1	0	0	1	1	1
Ak8	1	0	0	0	0	0	0	1	1	1
Aldh4a1	0	0	0	0	1	0	0	1	1	1
Als2	0	0	0	0	1	0	0	1	1	1
Angpt4	0	0	0	0	1	0	0	1	1	1
Ap3b2	0	0	0	0	1	0	0	1	1	1
Atp5j	0	0	0	0	0	1	0	1	1	1
Atp5l	0	0	0	0	0	0	1	1	1	1
Atp9a	0	0	0	0	1	0	0	1	1	1
Bud31	0	1	0	0	0	0	0	1	1	1
Carnmt1	0	0	0	0	1	0	0	1	1	1
Ccdc117	0	0	0	1	0	0	0	1	1	1
Chd4	0	0	0	0	1	0	0	1	1	1
Cnga4	0	0	0	0	1	0	0	1	1	1
Cnot1	0	0	0	0	0	0	1	1	1	1
Col4a2	0	0	0	0	1	0	0	1	1	1
Col6a5	0	0	0	0	1	0	0	1	1	1
Cpsf1	0	0	0	0	1	0	0	1	1	1
Ctdspl2	0	0	0	0	1	0	0	1	1	1
Ctnna2	0	0	0	0	1	0	0	1	1	1
Cyp2g1	0	0	0	0	1	0	0	1	1	1
Ddx21	0	0	0	0	1	0	0	1	1	1
Dscaml1	0	0	0	0	1	0	0	1	1	1
Dsg1c	1	0	0	0	0	0	0	1	1	1
Ebf3	0	0	0	0	1	0	0	1	1	1
Eif4a2	0	0	0	0	0	0	1	1	1	1
Eif4e	0	0	0	0	1	0	0	1	1	1
Fam129c	0	0	0	0	0	1	0	1	1	1
Fam8a1	0	0	0	0	0	1	0	1	1	1
Fbxo10	0	0	0	0	1	0	0	1	1	1
Fuca1	0	0	0	0	1	0	0	1	1	1
Gba2	0	0	0	0	0	0	1	1	1	1
Gsdma3	0	0	0	0	1	0	0	1	1	1
Heatr5b	0	0	0	0	1	0	0	1	1	1
Hip1	0	0	0	0	0	1	0	1	1	1
Hmmr	0	0	0	1	0	0	0	1	1	1
