gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
Sp100	chr1	81875931	81901726	0.248077	43.4555	3.65267	3	5	5.58683	8
Gm16025	chr1	81875931	81901726	0.248077	43.4555	3.65267	3	5	5.58683	8
Gm16094	chr1	81875931	81901726	0.248077	43.4555	3.65267	3	5	5.58683	8
MGP_FVBNJ_G0036275	chr1	81875931	81901726	0.248077	43.4555	3.65267	3	5	5.58683	8
Ugt1a10	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Gm20528	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Ugt1a9	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Ugt1a8	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Ugt1a7c	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Ugt1a6b	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Gm15372	chr1	84464774	84658645	0.256136	24.8882	11.9004	3	12	24.8084	13
Ugt1a6a	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Gm15374	chr1	84464774	84654898	0.256136	25.1266	12.8992	3	13	24.8084	13
Gm15373	chr1	84464774	84654898	0.256136	25.1266	12.8992	3	13	24.8084	13
Gm15370	chr1	84464774	84654898	0.256136	25.1266	12.8992	3	13	24.8084	13
Gm15371	chr1	84464774	84654898	0.256136	25.1266	12.8992	3	13	24.8084	13
Ugt1a5	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Gm15368	chr1	84464774	84658645	0.256136	25.5334	13.8819	3	14	24.8084	13
Gm15376	chr1	84464774	84658645	0.256136	25.5334	13.8819	3	14	24.8084	13
Ugt1a2	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Dnajb3	chr1	84464774	84658645	0.256136	26.9553	16.7536	3	17	24.8084	13
Ugt1a1	chr1	84464774	84707282	0.256136	29.518	19.8589	3	21	24.8084	13
Hjurp	chr1	84707782	84723716	0.256136	41.8871	4.94952	3	6	24.8084	13
Ctnnd1	chr2	80764126	80825968	0.287189	35.981	12.4156	3	14	12.4156	8
Gm28635	chr2	80764126	80825968	0.287189	35.981	12.4156	3	14	12.4156	8
Btbd18	chr2	80765494	80788328	0.287189	30.5177	1.95103	3	2	12.4156	8
Selenoh	chr2	80765494	80788328	0.287189	30.5177	1.95103	3	2	12.4156	8
Tmx2	chr2	80765494	80788328	0.287189	30.5177	1.95103	3	2	12.4156	8
Tars2	chr3	90855811	90875333	-0.278183	21.444	12.4035	1	16	12.4035	10
Gm20628	chr3	91396662	91402735	0.230399	29.126	0.996845	3	1	7.93849	8
Gm42743	chr3	91396662	91402735	0.230399	29.126	0.996845	3	1	7.93849	8
H2bc18	chr3	91396662	91402735	0.230399	29.126	0.996845	3	1	7.93849	8
Fcgr1	chr3	91408149	91479333	0.230399	39.5738	4.35521	3	6	7.93849	8
MGP_FVBNJ_G0037584	chr3	91408149	91479333	0.230399	39.5738	4.35521	3	6	7.93849	8
MGP_FVBNJ_G0037585	chr3	91408149	91479389	0.230399	43.5475	5.95036	3	9	7.93849	8
MGP_FVBNJ_G0037586	chr3	91408149	91479389	0.230399	43.5475	5.95036	3	9	7.93849	8
Platr30	chr3	91447814	91479389	0.230399	44.2056	4.03348	3	6	7.93849	8
MGP_FVBNJ_G0006192	chr3	91447814	91479389	0.230399	44.2056	4.03348	3	6	7.93849	8
MGP_FVBNJ_G0006193	chr3	91447814	91479389	0.230399	44.2056	4.03348	3	6	7.93849	8
MGP_FVBNJ_G0037587	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
4930477E14Rik	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
Gm26654	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
Pafah1b1-ps1	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
Gm21960	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
MGP_FVBNJ_G0009601	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
MGP_FVBNJ_G0037588	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
BC107364	chr3	91447814	91479333	0.230399	37.5386	2.43832	3	3	7.93849	8
Chia1	chr3	101234322	101271384	0.304947	37.1538	3.36356	3	4	10.7383	14
Chil3	chr3	101292375	101348089	0.304947	47.3592	2.48094	3	4	10.7383	14
Gm43709	chr3	101292375	101348089	0.304947	47.3592	2.48094	3	4	10.7383	14
Gm6522	chr3	101439762	101530388	0.304947	49.2614	1.55264	3	3	10.7383	14
Chil4	chr3	101439762	101530388	0.304947	49.2614	1.55264	3	3	10.7383	14
