gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
Sp100	chr1	81875931	81901726	0.295829	43.4555	3.65267	3	5	6.87066	12
Gm16025	chr1	81875931	81901726	0.295829	43.4555	3.65267	3	5	6.87066	12
Gm16094	chr1	81875931	81901726	0.295829	43.4555	3.65267	3	5	6.87066	12
MGP_FVBNJ_G0036275	chr1	81875931	81901726	0.295829	43.4555	3.65267	3	5	6.87066	12
Ugt1a10	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Gm20528	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Ugt1a9	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Ugt1a8	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Ugt1a7c	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Ugt1a6b	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Gm15372	chr1	84464774	84658645	0.27663	24.8882	11.9004	3	12	26.7671	12
Ugt1a6a	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Gm15374	chr1	84464774	84654898	0.27663	25.1266	12.8992	3	13	26.7671	12
Gm15373	chr1	84464774	84654898	0.27663	25.1266	12.8992	3	13	26.7671	12
Gm15370	chr1	84464774	84654898	0.27663	25.1266	12.8992	3	13	26.7671	12
Gm15371	chr1	84464774	84654898	0.27663	25.1266	12.8992	3	13	26.7671	12
Ugt1a5	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Gm15368	chr1	84464774	84658645	0.27663	25.5334	13.8819	3	14	26.7671	12
Gm15376	chr1	84464774	84658645	0.27663	25.5334	13.8819	3	14	26.7671	12
Ugt1a2	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Dnajb3	chr1	84464774	84658645	0.27663	26.0361	14.8421	3	15	26.7671	12
Ugt1a1	chr1	84464774	84707282	0.27663	29.38	18.8668	3	20	26.7671	12
Hjurp	chr1	84707782	84755450	0.27663	40.5296	5.90797	3	7	26.7671	12
Trpm8	chr1	84723797	84842597	0.27663	28.3287	2.95073	3	3	26.7671	12
4930453O03Rik	chr1	84750656	84842597	0.27663	25.8316	1.99228	3	2	26.7671	12
Ctnnd1	chr2	80764126	80825968	0.271645	35.981	12.4156	3	14	25.0966	10
Gm28635	chr2	80764126	80853807	0.271645	31.4839	25.0966	3	27	25.0966	10
Btbd18	chr2	80765494	80853807	0.271645	27.7142	17.5806	3	18	25.0966	10
Selenoh	chr2	80765494	80852785	0.271645	27.2164	12.5979	3	13	25.0966	10
Tmx2	chr2	80765494	80853807	0.271645	27.7142	17.5806	3	18	25.0966	10
Med19	chr2	80839841	80853807	0.271645	28.973	4.98265	3	5	25.0966	10
Chia1	chr3	101234322	101271384	0.355783	37.1538	3.36356	3	4	8.76111	13
Chil3	chr3	101292375	101348089	0.355783	47.3592	2.48094	3	4	8.76111	13
Gm43709	chr3	101292375	101348089	0.355783	47.3592	2.48094	3	4	8.76111	13
Gm6522	chr3	101439762	101530388	0.355783	49.2614	1.55264	3	3	8.76111	13
Chil4	chr3	101439762	101530388	0.355783	49.2614	1.55264	3	3	8.76111	13
MGP_FVBNJ_G0027965	chr4	37544524	37564411	-0.584147	12.2452	0.64445	1	2	4.91647	17
MGP_FVBNJ_G0027966	chr4	37858093	37875422	-0.584147	12.7451	0.644072	1	2	4.91647	17
Gm10591	chr4	38371437	38388766	-0.584147	12.9666	0.729654	1	2	4.91647	17
Gm13304	chr4	38539275	38566505	-0.584147	12.8611	1.22779	1	5	4.91647	17
MGP_FVBNJ_G0027970	chr4	38539275	38566505	-0.584147	12.8611	1.22779	1	5	4.91647	17
Ccl21d	chr4	38539275	38566505	-0.584147	12.8611	1.22779	1	5	4.91647	17
Ccl21b	chr4	38539275	38566505	-0.584147	12.8611	1.22779	1	5	4.91647	17
Hint2	chr4	39435194	39437322	-0.258098	20.826	5.25005	1	7	5.25005	7
Zfp978	chr4	143012514	143068233	-0.214656	15.4023	1.41397	2	2	16.2593	22
Zfp600	chr4	143012514	143068233	-0.214656	15.4023	1.41397	2	2	16.2593	22
Gm44252	chr4	143012514	143068233	-0.214656	15.4023	1.41397	2	2	16.2593	22
