gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm30414	chr1	4436368	5709545	0.396069	3	22.0342	0.764025	4.6619	5
Gm19123	chr1	23047676	23165242	-0.267356	1	19.6151	0.984747	2.93189	3
Aff3	chr1	35134555	35438815	0.418869	4	37.5522	0.904741	2.61629	3
Gm18802	chr1	55197757	56690517	-0.289583	1	19.273	0.987354	3.58464	4
Ikzf2	chr1	66067651	67010226	0.296601	3	23.4208	0.884634	2.85295	3
Dock10	chr1	76902473	77517597	-0.218319	1	22.741	0.635656	2.96399	3
Sp100	chr1	81980243	82371736	-0.397148	1	23.8438	0.996136	2.59911	3
4933407L21Rik	chr1	82018351	82530069	-0.217773	1	27.1248	0.420588	2.97786	3
Gm28375	chr1	83241111	83491778	-0.275919	2	24.5309	0.880293	2.92625	3
Ugt1a10	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Gm20528	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a9	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a8	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a7c	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a6b	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a6a	chr1	84567069	86944468	-0.336544	1	21.7581	0.999193	2.82804	3
Gal3st2b	chr1	90350226	90651430	-0.374079	1	20.3966	0.425336	2.90526	3
Cntnap5b	chr1	96207979	97192856	-0.225933	2	20.5032	0.883316	4.93464	5
Serpinb3a	chr1	103548020	104820287	0.433187	3	21.8443	0.81898	2.82973	3
Cdh19	chr1	107083772	107257131	0.392281	3	23.4208	0.977911	3.88111	4
Gm23734	chr1	123474567	124578627	-0.238374	2	24.8983	0.623386	2.94388	3
Gm38301	chr1	123474567	124578627	-0.238374	2	24.8983	0.623386	2.94388	3
Tmem163	chr1	123474567	124578627	-0.238374	2	24.8983	0.623386	2.94388	3
Thsd7b	chr1	125863309	126448602	0.432453	4	30.9092	0.693261	3.7059	4
Gm22609	chr1	128802819	129051229	-0.246736	2	24.4739	0.777481	2.94016	3
Lrrn2	chr1	128802819	129051229	-0.246736	2	24.4739	0.777481	2.94016	3
MGP_FVBNJ_G0007600	chr1	128802819	129051229	-0.246736	2	24.4739	0.777481	2.94016	3
Gm38308	chr1	128802819	129051229	-0.246736	2	24.4739	0.777481	2.94016	3
Gm16332	chr1	136037916	136089233	0.255995	3	26.1143	0.856896	2.71662	3
Gm5834	chr1	136088526	136250079	0.566041	4	27.1021	0.73475	2.79236	3
Cfh	chr1	136247311	136889322	0.291064	3	23.0637	0.672055	3.87035	4
Rgs21	chr1	140527407	140673609	0.374021	3	26.0307	0.977911	3.89131	4
Gm18445	chr1	169577443	169808634	-0.386544	2	16.9248	0.944376	3.80768	4
Adss	chr1	173414979	173598905	-0.304481	2	21.6207	0.998954	2.14547	3
Gm16585	chr1	173414979	173598905	-0.304481	2	21.6207	0.998954	2.14547	3
Cr1l	chr1	190774108	190982667	1.00402	5	66.5118	0.776438	2.52477	3
Pfkfb3	chr2	8283808	8728815	-0.378359	2	17.2156	0.602272	2.80679	3
Itga8	chr2	9048282	10538276	0.52181	4	31.884	0.993792	2.65574	3
Etl4	chr2	17123629	18294645	0.245123	3	24.4285	0.979685	2.85253	3
Hnmt	chr2	20494367	21097796	-0.270345	2	21.1266	0.975641	2.89848	3
Gm28635	chr2	80834695	81198741	-0.421116	1	18.9815	0.55668	3.63418	4
Btbd18	chr2	80834695	81198741	-0.421116	1	18.9815	0.55668	3.63418	4
Olfr1118	chr2	83449795	83595465	-0.299465	1	17.69	0.937179	2.93485	3
Gm13729	chr2	83449795	83595465	-0.299465	1	17.69	0.937179	2.93485	3
Gm13728	chr2	83449795	83595465	-0.299465	1	17.69	0.937179	2.93485	3
Olfr1117-ps1	chr2	83449795	83595465	-0.299465	1	17.69	0.937179	2.93485	3
Gm13737	chr2	83449795	83595465	-0.299465	1	17.69	0.937179	2.93485	3
Lrrc4c	chr2	92560215	94228702	0.315881	2	22.3221	0.725883	5.66776	6
Lmo2	chr2	100117427	100255363	-0.200789	1	21.2242	0.229104	2.9787	3
Gm15130	chr2	107196550	107367021	0.227303	3	21.1499	0.834393	2.96539	3
Potefam1	chr2	107196550	107367021	0.227303	3	21.1499	0.834393	2.96539	3
Gm14066	chr2	135434903	135794917	0.20484	3	17.678	0.967357	2.68706	3
Sel1l2	chr2	136284244	137185078	-0.313429	1	15.1032	0.880337	3.87898	4
Ninl	chr2	146635591	147087412	-0.380271	2	16.5278	0.857732	4.85794	5
Nanp	chr2	146848894	147087412	-0.534976	2	14.1074	0.892717	2.87084	3
Mmp24	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
BC029722	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Eif6	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gm16098	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Fam83c	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Uqcc1	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gm15557	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gdf5	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Cep250	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
6430550D23Rik	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Ergic3	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Fer1l4	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gm14240	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Spag4	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Cpne1	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gm28036	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Gm37274	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Rbm12	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Nfs1	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Romo1	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Rbm39	chr2	151776629	152408509	-0.453575	1	33.166	4.8278e-05	2.43778	3
Dlgap4	chr2	152723928	153250414	-0.294993	1	41.578	0.788673	2.93867	3
4930405A21Rik	chr2	152723928	153250414	-0.294993	1	41.578	0.788673	2.93867	3
Myl9	chr2	152723928	153250414	-0.294993	1	41.578	0.788673	2.93867	3
Gm14231	chr2	152723928	153250414	-0.294993	1	41.578	0.788673	2.93867	3
Ptprt	chr2	157757971	158916726	0.311331	3	46.6167	0.895115	6.82952	7
Gm11451	chr2	158956576	159155553	0.259664	3	48.8281	0.884328	2.9672	3
Gm14617	chr2	171298929	171495476	-0.401883	2	31.5638	0.857732	2.72699	3
Gm14618	chr2	171298929	171495476	-0.401883	2	31.5638	0.857732	2.72699	3
Gm14616	chr2	171298929	171495476	-0.401883	2	31.5638	0.857732	2.72699	3
Sirpb1b	chr3	11935818	12374786	-0.264471	1	20.0764	0.993915	5.67506	6
Naaladl2	chr3	20922582	21986971	0.476134	3	29.2635	0.974114	3.70512	4
Gm42694	chr3	29717549	29820795	-0.230395	2	23.7749	0.536868	2.97516	3
Gm43666	chr3	29779229	29870395	-0.283703	2	22.0972	0.801343	2.94027	3
Gm18611	chr3	29779229	29870395	-0.283703	2	22.0972	0.801343	2.94027	3
Mccc1os	chr3	32071564	32170618	-0.228508	2	18.075	0.755	2.96086	3
Ccdc144b	chr3	32071564	32170618	-0.228508	2	18.075	0.755	2.96086	3
Acad9	chr3	32071564	32170618	-0.228508	2	18.075	0.755	2.96086	3
Vmn2r7	chr3	59657162	59753973	0.276271	3	18.1949	0.995229	3.7125	4
Vmn2r4	chr3	59657162	59753973	0.276271	3	18.1949	0.995229	3.7125	4
Vmn2r3	chr3	59657162	59753973	0.276271	3	18.1949	0.995229	3.7125	4
