gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Dnah7c	chr1	42928468	43373886	-0.311995	3	19.3474	0.969079	2.77576	3
Obsl1	chr1	71275982	75743503	-0.29221	2	23.9185	0.26162	2.92488	3
Mgat5	chr1	123018829	124578627	-0.235359	2	26.0598	0.97437	2.94375	3
Mdm4	chr1	128802819	129427396	0.260612	2	35.926	0.777481	3.8173	4
Celf2	chr2	4216418	5300041	1.04311	5	30.8284	0.00207185	3.74646	4
Armc3	chr2	15890948	16240636	-0.209495	2	18.2554	0.492991	2.98528	3
Cel	chr2	25062366	25752937	-0.207263	2	19.5284	0.892717	2.98623	3
Fam78a	chr2	28605663	29035814	-0.201496	2	19.8048	0.148645	2.98546	3
Gm16534	chr2	28605663	29035814	-0.201496	2	19.8048	0.148645	2.98546	3
Lrrc55os	chr2	81284344	82254088	-0.527027	2	15.6721	0.976506	2.68224	3
Lrrc55	chr2	81284344	82254088	-0.527027	2	15.6721	0.976506	2.68224	3
Ptprj	chr2	86731066	87596653	-0.347913	1	17.0719	0.852917	2.85462	3
Gm13767	chr2	86731066	87596653	-0.347913	1	17.0719	0.852917	2.85462	3
Gm13768	chr2	86731066	87596653	-0.347913	1	17.0719	0.852917	2.85462	3
Lrrc4c	chr2	93144010	94512124	0.651825	3	23.3455	0.997488	2.77246	3
4931422A03Rik	chr2	100117427	100670050	-0.201018	1	19.2529	0.229104	2.9832	3
Fbxo3	chr2	100117427	100670050	-0.201018	1	19.2529	0.229104	2.9832	3
Ino80	chr2	114761033	115898983	-0.204414	2	19.2942	0.625789	2.98464	3
AU019990	chr2	128666610	129424682	-0.210715	1	18.3379	0.550951	2.97983	3
Sel1l2	chr2	136284244	137737415	-0.307366	1	15.5457	0.880337	2.90615	3
Iqschfp	chr3	63030825	64453469	-0.267876	2	17.405	0.984747	3.92182	4
Schip1	chr3	63486515	64453469	-0.308258	2	16.9633	0.937179	2.92787	3
Gm37240	chr3	79607705	81039397	-0.278395	2	17.3334	0.993792	2.90712	3
