gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Sox17	chr1	1439789	1698072	-0.236346	2	20.2843	0.307077	1.96382	2
Gm37587	chr1	1439789	1698072	-0.236346	2	20.2843	0.307077	1.96382	2
Gm7357	chr1	1439789	1698072	-0.236346	2	20.2843	0.307077	1.96382	2
MGP_FVBNJ_G0036886	chr1	1439789	1698072	-0.236346	2	20.2843	0.307077	1.96382	2
Gm38076	chr1	1439789	1698072	-0.236346	2	20.2843	0.307077	1.96382	2
Gm37988	chr1	1874219	1987495	-0.296224	1	18.8994	0.978568	1.5198	2
Tcea1	chr1	1874219	1987495	-0.296224	1	18.8994	0.978568	1.5198	2
Npbwr1	chr1	2868857	3365602	0.29045	2	34.2998	0.55953	1.72801	2
St18	chr1	3455486	3964444	0.290951	3	24.7093	0.899728	1.88198	2
1700034P13Rik	chr1	6613070	6710104	-0.217568	2	21.5125	0.980131	2.84063	3
Sgk3	chr1	6632402	6917290	-0.219604	2	21.6393	0.824302	2.84389	3
Gm6195	chr1	6632402	6710104	-0.266315	2	20.2603	0.824302	1.8583	2
MGP_FVBNJ_G0036889	chr1	6632402	6710104	-0.266315	2	20.2603	0.824302	1.8583	2
Cpa6	chr1	7282444	7737752	0.270123	3	28.175	0.91178	5.43449	6
Gm7560	chr1	8865247	8933147	-0.339504	2	22.9973	0.982765	2.95656	3
Gm6216	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm29663	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Sulf1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Slco5a1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm37162	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm5250	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm29283	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Prdm14	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm9947	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Msc	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm37412	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm29649	chr1	13465037	13530601	-0.205589	2	21.9142	0.825236	1.96841	2
4921511E07Rik	chr1	13621224	13651231	-0.402392	1	16.6027	0.397426	1.20704	2
Smap1	chr1	20450974	20608332	0.359863	2	23.1662	0.849662	1.85764	2
Fam135a	chr1	20671280	21223686	0.20032	5	26.6264	0.864552	1.28645	2
Gm14776	chr1	21494871	21691994	-0.213374	2	19.872	0.93445	1.95548	2
Gm28594	chr1	21494871	21691994	-0.213374	2	19.872	0.93445	1.95548	2
Gm28237	chr1	21554957	21895320	-0.237692	2	20.0177	0.535458	1.98053	2
Gm9443	chr1	21554957	21895320	-0.237692	2	20.0177	0.535458	1.98053	2
Gm29414	chr1	21554957	21895320	-0.237692	2	20.0177	0.535458	1.98053	2
Adgrb3	chr1	21554957	22463508	-0.200563	2	19.7386	0.535458	6.84221	7
Gm15702	chr1	21757899	21901508	-0.220135	1	20.5396	0.315977	1.96296	2
Gm38286	chr1	21955272	22351255	-0.20654	2	19.4247	0.693862	1.97442	2
Gm37880	chr1	21955272	22351255	-0.20654	2	19.4247	0.693862	1.97442	2
Gm25294	chr1	21955272	22351255	-0.20654	2	19.4247	0.693862	1.97442	2
Gm38260	chr1	22262275	22463508	-0.273011	1	17.1836	0.625436	1.90418	2
Gm37628	chr1	22262275	22463508	-0.273011	1	17.1836	0.625436	1.90418	2
8030445P17Rik	chr1	22262275	22463508	-0.273011	1	17.1836	0.625436	1.90418	2
Gm38198	chr1	22262275	22463508	-0.273011	1	17.1836	0.625436	1.90418	2
Gm19123	chr1	23047676	23165242	-0.303427	1	17.9412	0.487572	1.95639	2
Gm24064	chr1	23132021	23244945	-0.225721	2	19.2105	0.682823	1.97611	2
