gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm30414	chr1	4436368	6369337	0.480135	3	24.6211	0.764025	2.84208	3
Dis3l2	chr1	83128121	83532401	-0.206765	2	25.2648	0.840563	3.95485	4
Thsd7b	chr1	125863309	129427396	0.581073	4	33.2097	0.693261	2.75953	3
Cr1l	chr1	190774108	190982667	1.00402	5	66.5118	0.776438	2.52477	3
Lrrc4c	chr2	93144010	94228702	0.482249	3	22.5483	0.997488	2.77943	3
Ptprt	chr2	157764981	158916726	0.313287	3	46.4983	0.305537	5.85516	6
Selenbp2	chr3	89802099	92888004	-0.872115	1	8.95008	0.834393	3.36797	4
Dnai4	chr4	98357323	104901310	0.502274	3	23.6446	0.969079	2.77825	3
Adam22	chr5	4993342	7077517	-0.468311	1	17.0693	0.971658	2.74073	3
4932441J04Rik	chr5	54186788	54464344	-0.239197	1	19.064	0.843514	2.95224	3
Csmd1	chr8	13607551	15914963	-0.251837	2	20.9071	0.983948	2.9485	3
Myo9b	chr8	67545583	68216425	-0.328883	1	16.0895	0.974114	3.52474	4
Gsta2	chr9	74899655	74947556	-0.232136	0	21.1901	0.327925	2.13964	3
Fbxw14	chr9	105495623	106015104	-0.582512	1	11.1515	0.993792	2.2032	3
Nkain2	chr10	28436333	32694522	0.327106	3	24.3363	0.961109	2.71369	3
Gm12187	chr11	45717852	46026361	-0.418708	1	29.5179	0.993792	2.85512	3
Olfr56	chr11	45717852	46026361	-0.418708	1	29.5179	0.993792	2.85512	3
Gm8895	chr12	99623421	102166632	-0.45824	3	12.8344	0.993792	4.32108	5
Trav7-4	chr14	45019355	45284399	-0.364083	1	20.8397	0.984747	2.53852	3
Trav6-3	chr14	45019355	45985623	-0.204348	1	24.7146	0.984747	8.13457	9
Trav13d-1	chr14	45562569	45985623	-0.426843	1	23.2451	0.499127	3.75081	4
Trav13n-4	chr14	45562569	45591437	-0.338725	1	25.7023	0.499127	2.841	3
Cadm2	chr16	63691398	64941726	0.294953	4	9.81797	0.993792	2.45309	3
Sod2	chr17	10111571	11007806	-0.439347	1	21.769	0.953797	3.66748	5
Gm16050	chr17	10445222	11007806	-0.211716	3	26.6896	0.978543	1.93706	3
Hs6st2	chrX	46139061	47292520	-0.36229	1	9.29974	0.954967	2.88367	3
Gm14638	chrX	48389969	48732964	-0.963777	1	3.65611	0.638183	2.47325	3
1700111N16Rik	chrX	64662391	65404717	-0.599498	2	7.07648	0.871719	2.78802	3
Gm20455	chrX	69431058	69711348	-0.48124	1	8.98012	0.0937859	2.45454	3
Prrg1	chrX	73277357	73423054	-0.433668	1	7.54113	0.97338	2.71783	3
Il1rapl1	chrX	81755151	83363467	0.37294	4	13.193	0.348956	6.42209	7
Tent5d	chrX	103086602	103319959	0.206531	3	10.2814	0.711993	2.75032	3
Hdx	chrX	106715001	106833005	0.515631	3	14.0203	0.852845	2.78696	3
Dach2	chrX	108816775	109080626	0.244365	1	13.1066	0.81165	2.8411	3
Mdm4-ps	chrX	123460560	123599909	0.449444	3	20.0175	0.467118	2.88818	3
Diaph2	chrX	125094717	126073861	0.205135	3	12.3563	0.980725	3.87408	4
Il1rapl2	chrX	133138832	134335447	-0.240565	2	8.53773	0.971658	5.65939	6
Rtl4	chrX	140010744	140432250	-0.273438	3	9.76171	0.647616	3.81634	4
Htr2c	chrX	142127462	143622590	0.665012	3	14.3462	0.738726	3.73583	4
Cldn34b1	chrX	150293998	150746394	-0.520809	0	6.95229	0.960139	2.35756	3
Map3k15	chrX	155266369	156705509	0.288334	3	12.4743	0.919743	2.79421	3
