gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
4933401J01Rik	chr1	97127	110141	0.262554	22.689	1.87127	3	2	125.036	132
Gm26206	chr1	123273	161031	0.262554	29.5854	1.69347	3	2	125.036	132
Xkr4	chr1	225199	689232	0.262554	25.273	17.6035	3	18	125.036	132
Gm18956	chr1	233780	292277	0.262554	25.7725	2.89344	3	3	125.036	132
Gm37180	chr1	233780	392039	0.262554	25.2794	4.82221	3	5	125.036	132
Gm37363	chr1	233780	477754	0.262554	25.2998	5.81497	3	6	125.036	132
Gm37686	chr1	233780	525354	0.262554	25.6117	8.74659	3	9	125.036	132
Gm1992	chr1	233780	541336	0.262554	25.56	9.72979	3	10	125.036	132
Gm37329	chr1	233780	541336	0.262554	25.56	9.72979	3	10	125.036	132
Slc35e3	chr1	233780	604453	0.262554	25.7749	11.6929	3	12	125.036	132
Gm38148	chr1	233780	656406	0.262554	25.4471	13.6561	3	14	125.036	132
Gm19938	chr1	233780	689232	0.262554	25.5348	15.6301	3	16	125.036	132
Gm10568	chr1	689732	757818	0.262554	31.3298	1.80895	3	2	125.036	132
Gm38385	chr1	758318	771902	0.262554	25.3751	1.94139	3	2	125.036	132
Gm27396	chr1	791557	1006155	0.262554	29.7215	1.81035	3	2	125.036	132
MGP_FVBNJ_G0015656	chr1	1006655	1259995	0.262554	23.1911	1.96394	3	2	125.036	132
Gm6101	chr1	1260495	1291893	0.262554	28.2719	1.93957	3	2	125.036	132
Rp1	chr1	1292393	1429399	0.262554	25.1689	3.93737	3	4	125.036	132
Gm37483	chr1	1292393	1429399	0.262554	25.1689	3.93737	3	4	125.036	132
Sox17	chr1	1481671	1490306	0.262554	26.0501	9.74077	3	10	125.036	132
Gm37587	chr1	1481990	1512969	0.262554	25.9151	9.74243	3	10	125.036	132
Gm7357	chr1	1513469	1519692	0.262554	53.733	0.745991	3	2	125.036	132
MGP_FVBNJ_G0036886	chr1	1519585	1525664	0.262554	32.4061	1.28541	3	2	125.036	132
Gm38076	chr1	1525214	1546850	0.262554	26.9178	1.89484	3	2	125.036	132
Gm37323	chr1	1573786	1599223	0.262554	26.7903	1.9531	3	2	125.036	132
Gm7369	chr1	1599723	1675645	0.262554	25.6511	1.94897	3	2	125.036	132
Gm6085	chr1	1676145	1682259	0.262554	22.7129	1.64063	3	2	125.036	132
Gm6119	chr1	1681053	1697571	0.262554	25.9515	1.9396	3	2	125.036	132
MGP_FVBNJ_G0036887	chr1	1713461	1723707	0.262554	26.4962	1.81374	3	2	125.036	132
Gm2053	chr1	1723076	1762081	0.262554	25.681	1.92758	3	2	125.036	132
Gm6123	chr1	1762581	1778254	0.262554	22.6362	1.83996	3	2	125.036	132
Mrpl15	chr1	1765105	1801459	0.262554	27.6129	8.23758	3	9	125.036	132
Gm37144	chr1	1765105	1776858	0.262554	29.8641	5.34285	3	6	125.036	132
Lypla1	chr1	1801959	1851421	0.262554	31.6303	9.68848	3	10	125.036	132
Gm37988	chr1	1801959	1902520	0.262554	30.54	14.6176	3	15	125.036	132
Tcea1	chr1	1802063	1902520	0.262554	29.9906	11.7276	3	12	125.036	132
Gm37277	chr1	1901409	2019498	0.262554	29.8737	1.93837	3	2	125.036	132
Rgs20	chr1	1905231	2163949	0.262554	25.9323	14.4282	3	15	125.036	132
Gm17100	chr1	1905231	1934656	0.262554	25.396	6.73725	3	7	125.036	132
Gm37079	chr1	1905231	1947545	0.262554	24.8865	8.62653	3	9	125.036	132
Gm16041	chr1	1905231	2034641	0.262554	25.1901	10.5827	3	11	125.036	132
Gm17101	chr1	1905234	2163760	0.262554	26.1181	12.4622	3	13	125.036	132
Atp6v1h	chr1	1905234	2190213	0.262554	25.785	20.31	3	21	125.036	132
Gm7182	chr1	2263613	2341047	0.262554	36.4989	1.60813	3	2	125.036	132
Gm38264	chr1	2389897	2412567	0.262554	23.2275	1.91827	3	2	125.036	132
Oprk1	chr1	2559370	2590403	0.262554	22.3188	5.7498	3	6	125.036	132
Gm36965	chr1	2590903	2805586	0.262554	23.8614	1.85501	3	2	125.036	132
Gm37429	chr1	2803810	2877199	0.262554	26.9074	1.94607	3	2	125.036	132
Npbwr1	chr1	2877699	2881397	0.262554	23.41	0.977211	3	1	125.036	132
Gm19214	chr1	2999777	3145717	0.423991	25.1634	1.94103	3	2	62.3415	65
Rb1cc1	chr1	3146217	3290052	0.423991	27.2795	17.6432	3	18	62.3415	65
4732440D04Rik	chr1	3146217	3189177	0.423991	27.6096	7.89053	3	8	62.3415	65
Alkal1	chr1	3290552	3365881	0.423991	30.1639	3.632	3	4	62.3415	65
Gm2147	chr1	3290552	3314614	0.423991	28.2951	2.68695	3	3	62.3415	65
Gm7417	chr1	3290552	3365881	0.423991	30.1639	3.632	3	4	62.3415	65
St18	chr1	3425316	3787472	0.423991	29.0809	13.8362	3	14	62.3415	65
Gm42492	chr1	3784553	3833709	0.423991	29.461	1.95856	3	2	62.3415	65
Gm7449	chr1	3834209	3853437	0.423991	31.5775	1.69092	3	2	62.3415	65
Gm37275	chr1	3853407	3919504	0.423991	29.8817	1.73345	3	2	62.3415	65
Gm37225	chr1	3920004	3936132	0.423991	26.5076	1.90142	3	2	62.3415	65
Gm37489	chr1	3936632	3960400	0.423991	32.4216	1.74221	3	2	62.3415	65
Gm5694	chr1	3960900	4008914	0.423991	31.9506	1.87976	3	2	62.3415	65
Pcmtd1	chr1	4009414	4113795	0.423991	29.4174	10.78	3	11	62.3415	65
Gm26983	chr1	4009414	4071449	0.423991	28.1015	4.88287	3	5	62.3415	65
Gm38372	chr1	4009414	4087690	0.423991	28.8668	7.83673	3	8	62.3415	65
Nras-ps2	chr1	4114295	4148421	0.423991	32.6753	1.89158	3	2	62.3415	65
Gm23274	chr1	4187053	4187183	0.423991	32.6769	0.822617	3	1	62.3415	65
Gm19002	chr1	4232004	4282183	0.34101	28.0039	1.94323	3	2	196.528	205
Gm26901	chr1	4296290	4332653	0.34101	22.7564	1.85347	3	2	196.528	205
Gm30414	chr1	4434094	4516043	0.34101	26.2346	1.97414	3	2	196.528	205
Gm37791	chr1	4516543	4538208	0.34101	29.3531	1.84517	3	2	196.528	205
Gm7470	chr1	4538708	4596222	0.34101	27.1244	1.95487	3	2	196.528	205
Rps2-ps2	chr1	4596722	4634114	0.34101	25.4151	1.93613	3	2	196.528	205
Gm38216	chr1	4659102	4766526	0.34101	23.9811	1.71581	3	2	196.528	205
Sntg1	chr1	5232625	6249927	0.34101	25.4026	27.3339	3	30	196.528	205
Gm38024	chr1	5232625	5347651	0.34101	25.603	8.92596	3	9	196.528	205
Gm16284	chr1	5232625	5397653	0.34101	25.1156	10.6019	3	11	196.528	205
Gm38259	chr1	5232625	5474631	0.34101	24.9294	12.5699	3	13	196.528	205
MGP_FVBNJ_G0007534	chr1	5232625	5512804	0.34101	25.2329	13.7343	3	15	196.528	205
Gm37005	chr1	5232625	5544994	0.34101	24.7752	15.6519	3	17	196.528	205
Gm36964	chr1	5232625	5676835	0.34101	25.1297	18.6873	3	21	196.528	205
MGP_FVBNJ_G0007535	chr1	5232625	5816863	0.34101	25.1022	19.6821	3	22	196.528	205
Gm37629	chr1	5232625	6095698	0.34101	24.8301	23.5537	3	26	196.528	205
Gm38008	chr1	5232625	6141919	0.34101	25.2581	25.3934	3	28	196.528	205
Gm37143	chr1	5232625	6249927	0.34101	25.4026	27.3339	3	30	196.528	205
Gm6187	chr1	6250427	6291290	0.34101	26.2502	1.93506	3	2	196.528	205
Gm18299	chr1	6291790	6303597	0.34101	30.1202	1.90229	3	2	196.528	205
Gm7512	chr1	6302427	6309620	0.34101	28.6116	1.82479	3	2	196.528	205
Gm24765	chr1	6309517	6351284	0.34101	26.1912	1.86117	3	2	196.528	205
Gm18300	chr1	6351784	6426945	0.34101	29.6484	1.96298	3	2	196.528	205
Adhfe1	chr1	6398608	6482356	0.34101	29.6769	7.92025	3	8	196.528	205
2610203C22Rik	chr1	6398608	6491318	0.34101	29.486	11.8393	3	12	196.528	205
Vxn	chr1	6411492	6491318	0.34101	29.3639	6.897	3	7	196.528	205
Gm29520	chr1	6489990	6517968	0.34101	32.1193	1.944	3	2	196.528	205
Mybl1	chr1	6518468	6568284	0.34101	30.0224	5.72575	3	6	196.528	205
Vcpip1	chr1	6568784	6620070	0.34101	27.7845	3.96629	3	4	196.528	205
1700034P13Rik	chr1	6568784	6750938	0.34101	27.4747	7.82302	3	8	196.528	205
Sgk3	chr1	6646248	6759446	0.34101	28.7697	16.6082	3	17	196.528	205
Gm6195	chr1	6646248	6682412	0.34101	28.6109	7.87427	3	8	196.528	205
MGP_FVBNJ_G0036889	chr1	6646248	6695565	0.34101	29.0281	9.71771	3	10	196.528	205
Mcmdc2	chr1	6759946	6796562	0.34101	27.7696	12.5852	3	13	196.528	205
Snhg6	chr1	6759978	6813671	0.34101	27.9202	10.5925	3	11	196.528	205
Snord87	chr1	6795965	6813671	0.34101	28.3064	6.63987	3	7	196.528	205
Tcf24	chr1	6814171	6841237	0.34101	26.4152	3.7709	3	4	196.528	205
E330040D14Rik	chr1	6814171	6858844	0.34101	27.4151	5.75412	3	6	196.528	205
Ppp1r42	chr1	6821650	6865382	0.34101	27.765	7.65068	3	8	196.528	205
Gm15818	chr1	6823588	6864595	0.34101	28.995	5.93653	3	6	196.528	205
MGP_FVBNJ_G0036890	chr1	6865278	6879552	0.34101	29.5757	1.83272	3	2	196.528	205
Cops5	chr1	6880052	6992254	0.34101	28.0314	9.74668	3	10	196.528	205
Cspp1	chr1	6880052	7092995	0.34101	29.0425	36.2499	3	37	196.528	205
1700047N06Rik	chr1	6893672	6926197	0.34101	29.3002	14.795	3	15	196.528	205
Arfgef1	chr1	6993056	7183317	0.34101	28.2039	10.5953	3	11	196.528	205
MGP_FVBNJ_G0009294	chr1	6993056	7092995	0.34101	28.2029	5.71668	3	6	196.528	205
Gm37569	chr1	6993056	7064904	0.34101	28.5133	7.65835	3	8	196.528	205
Cpa6	chr1	7183817	7619970	0.34101	27.3286	11.6306	3	12	196.528	205
Gm38005	chr1	7183817	7321979	0.34101	27.9968	3.94885	3	4	196.528	205
Gm15604	chr1	7183817	7402547	0.34101	26.9874	7.71845	3	8	196.528	205
MGP_FVBNJ_G0036891	chr1	7183817	7442223	0.34101	27.0209	8.70861	3	9	196.528	205
Gm15603	chr1	7183817	7619970	0.34101	27.3286	11.6306	3	12	196.528	205
Gm37133	chr1	7620470	7702151	0.34101	27.6229	1.94505	3	2	196.528	205
Gm28659	chr1	7702651	7715345	0.34101	28.1248	1.90236	3	2	196.528	205
MGP_FVBNJ_G0038128	chr1	7750540	7807450	0.34101	27.0451	1.82784	3	2	196.528	205
Prex2	chr1	7807950	8173182	0.34101	26.8169	11.5687	3	12	196.528	205
Gm24173	chr1	7807950	7969180	0.34101	26.7436	5.70559	3	6	196.528	205
Gm28686	chr1	7807950	8064469	0.34101	27.1468	8.59909	3	9	196.528	205
Gm37410	chr1	8173682	8220882	0.34101	25.4582	1.95261	3	2	196.528	205
A830018L16Rik	chr1	8221382	8576961	0.228196	24.496	15.3779	3	16	68.4536	71
Gm38178	chr1	8221382	8317142	0.228196	23.9289	8.82868	3	9	68.4536	71
Gm29273	chr1	8221382	8465720	0.228196	24.3437	12.4252	3	13	68.4536	71
Gm38069	chr1	8221382	8576961	0.228196	24.4774	14.3898	3	15	68.4536	71
Gm7560	chr1	8879520	8910900	0.228196	23.9377	1.94199	3	2	68.4536	71
MGP_FVBNJ_G0036892	chr1	9129761	9178251	0.228196	20.6257	1.83493	3	2	68.4536	71
Mir6341	chr1	9178751	9234001	0.228196	29.3794	1.79384	3	2	68.4536	71
Gm6216	chr1	9415653	9425446	0.228196	26.4839	1.89392	3	2	68.4536	71
Gm29663	chr1	9424593	9450040	0.228196	23.6167	1.85518	3	2	68.4536	71
Sulf1	chr1	9450540	9634641	0.228196	25.7209	8.85231	3	9	68.4536	71
Slco5a1	chr1	9635141	9830884	0.228196	25.9847	5.91193	3	6	68.4536	71
Gm37162	chr1	9831384	9834323	0.228196	29.7261	1.82886	3	2	68.4536	71
Gm5250	chr1	9834002	9850696	0.228196	28.5754	1.86347	3	2	68.4536	71
Gm29283	chr1	9840810	9887297	0.228196	25.3537	1.95041	3	2	68.4536	71
Prdm14	chr1	9887797	9912594	0.228196	27.4214	1.96631	3	2	68.4536	71
Ncoa2	chr1	9913094	10067617	0.228196	28.0644	18.4467	3	19	68.4536	71
Gm38376	chr1	9913094	10139849	0.228196	28.2648	10.7917	3	11	68.4536	71
Gm37409	chr1	9913094	10029805	0.228196	28.3237	14.7202	3	15	68.4536	71
MGP_FVBNJ_G0007537	chr1	9913094	10058001	0.228196	28.2954	16.5289	3	17	68.4536	71
Gm38223	chr1	9913094	10067617	0.228196	28.0644	18.4467	3	19	68.4536	71
Gm37702	chr1	9913094	10067617	0.228196	28.0644	18.4467	3	19	68.4536	71
Gm23169	chr1	9913094	10068430	0.228196	28.349	12.7817	3	13	68.4536	71
Gm38120	chr1	9913094	10068430	0.228196	28.349	12.7817	3	13	68.4536	71
Gm38380	chr1	9913094	10068430	0.228196	28.349	12.7817	3	13	68.4536	71
Ncoa2	chr1	9913094	10142989	0.323654	29.3804	12.6481	3	13	72.3699	67
Gm38376	chr1	9913094	10141449	0.323654	28.8671	4.97886	3	5	72.3699	67
Gm37409	chr1	9913094	10068430	0.323654	28.8745	7.9638	3	8	72.3699	67
MGP_FVBNJ_G0007537	chr1	9913094	10068430	0.323654	28.8745	7.9638	3	8	72.3699	67
Gm38223	chr1	9913094	10068430	0.323654	28.8745	7.9638	3	8	72.3699	67
Gm37702	chr1	9913094	10068430	0.323654	28.8745	7.9638	3	8	72.3699	67
Gm23169	chr1	9913094	10115846	0.323654	29.2822	10.691	3	11	72.3699	67
Gm38120	chr1	9913094	10124397	0.323654	29.5174	11.6624	3	12	72.3699	67
Gm38380	chr1	9913094	10142989	0.323654	29.3804	12.6481	3	13	72.3699	67
Gm29570	chr1	10143489	10172495	0.323654	28.4328	1.96622	3	2	72.3699	67
Gm7593	chr1	10172995	10311291	0.323654	29.8841	1.9077	3	2	72.3699	67
Tram1	chr1	10311791	10373558	0.323654	28.8863	3.94347	3	4	72.3699	67
Lactb2	chr1	10374058	10421406	0.323654	28.5737	3.91865	3	4	72.3699	67
Gm38319	chr1	10374058	10421406	0.323654	28.5737	3.91865	3	4	72.3699	67
Xkr9	chr1	10421906	10503837	0.323654	27.8888	1.98214	3	2	72.3699	67
Gm26273	chr1	10520608	10531541	0.323654	24.7153	1.84319	3	2	72.3699	67
Gm5523	chr1	10532041	10587474	0.323654	25.8371	1.58636	3	2	72.3699	67
Gm36947	chr1	10587974	10633219	0.323654	26.3947	1.95924	3	2	72.3699	67
MGP_FVBNJ_G0009295	chr1	10672831	10822023	0.323654	30.9803	1.84781	3	2	72.3699	67
Gm37400	chr1	10848524	10909268	0.323654	25.9685	1.96093	3	2	72.3699	67
Eya1	chr1	10909768	11181640	0.323654	29.2055	12.8053	3	13	72.3699	67
Gm37444	chr1	10909768	11012262	0.323654	29.3505	8.84939	3	9	72.3699	67
Gm9947	chr1	11492571	11533319	0.323654	28.4804	6.72296	3	7	72.3699	67
Msc	chr1	11492571	11533319	0.323654	28.4804	6.72296	3	7	72.3699	67
Gm37412	chr1	11533819	11616512	0.323654	27.7548	1.96302	3	2	72.3699	67
Trpa1	chr1	11617012	11757849	0.323654	25.7042	1.98587	3	2	72.3699	67
Gm26345	chr1	11758349	11821176	0.323654	22.4489	1.84287	3	2	72.3699	67
Kcnb2	chr1	12028937	12433079	0.323654	27.6156	4.80265	3	5	72.3699	67
Gm38116	chr1	12028937	12233944	0.323654	26.9688	3.95304	3	4	72.3699	67
Gm25227	chr1	12028937	12433079	0.323654	27.6156	4.80265	3	5	72.3699	67
Kcnb2	chr1	12028937	12473370	0.421098	26.8056	1.99195	3	2	86.3983	87
Gm38116	chr1	12028937	12473370	0.421098	26.8056	1.99195	3	2	86.3983	87
Gm25227	chr1	12028937	12473370	0.421098	26.8056	1.99195	3	2	86.3983	87
Gm25168	chr1	12500900	12504726	0.421098	39.7815	1.53652	3	2	86.3983	87
Gm6060	chr1	12504179	12504918	0.421098	40.3799	1.48257	3	2	86.3983	87
Gm28669	chr1	12504818	12546161	0.421098	27.8352	1.78756	3	2	86.3983	87
Terf1	chr1	12546661	12593076	0.421098	30.2285	4.93978	3	5	86.3983	87
Gm37509	chr1	12593576	12620539	0.421098	29.7991	2.79827	3	3	86.3983	87
Sbspon	chr1	12593576	12668402	0.421098	30.8622	3.76679	3	4	86.3983	87
MGP_FVBNJ_G0009296	chr1	12594107	12668402	0.421098	31.4129	2.79039	3	3	86.3983	87
Gm7634	chr1	12791990	12804955	0.421098	33.2002	1.91463	3	2	86.3983	87
4930444P10Rik	chr1	12805455	12837039	0.421098	38.0222	2.82636	3	3	86.3983	87
Rpl7	chr1	12836251	12868595	0.421098	29.141	6.75741	3	7	86.3983	87
Rdh10	chr1	12840725	12897817	0.421098	33.5108	2.94093	3	3	86.3983	87
Gm38249	chr1	12943341	12963714	0.421098	32.0628	1.95564	3	2	86.3983	87
Gm28095	chr1	12964214	12994173	0.421098	29.549	6.92446	3	7	86.3983	87
Stau2	chr1	12964214	13270074	0.421098	28.534	19.6921	3	20	86.3983	87
Gm7568	chr1	12964382	13077684	0.421098	29.7065	8.88977	3	9	86.3983	87
Ube2w	chr1	13270574	13365747	0.421098	30.0158	7.90698	3	8	86.3983	87
Gm38342	chr1	13270574	13365747	0.421098	30.0158	7.90698	3	8	86.3983	87
Eloc	chr1	13366247	13386772	0.421098	29.3833	11.8253	3	12	86.3983	87
D030040B21Rik	chr1	13382036	13388156	0.421098	28.8878	1.92888	3	2	86.3983	87
Idi1-ps5	chr1	13387473	13402799	0.421098	29.6838	1.9365	3	2	86.3983	87
Tmem70	chr1	13389425	13411430	0.421098	31.2969	4.89414	3	5	86.3983	87
Ly96	chr1	13411930	13464972	0.421098	28.2159	3.94112	3	4	86.3983	87
Gm29649	chr1	13465472	13476241	0.421098	27.8241	1.91236	3	2	86.3983	87
Gm5828	chr1	13476741	13533493	0.421098	28.2622	1.9491	3	2	86.3983	87
Gm28376	chr1	13615241	13841676	0.272401	25.9037	4.85473	3	5	598.595	629
4921511E07Rik	chr1	13615241	13720793	0.272401	24.4434	2.91474	3	3	598.595	629
Jph1	chr1	13615241	13841676	0.272401	25.9037	4.85473	3	5	598.595	629
Gm28783	chr1	13842176	13857068	0.272401	26.2381	1.96089	3	2	598.595	629
Gdap1	chr1	13857568	13884841	0.272401	24.85	4.90824	3	5	598.595	629
Gm28784	chr1	13880140	13958993	0.272401	28.5129	1.9246	3	2	598.595	629
Gm28785	chr1	13959493	13970783	0.272401	29.2573	1.91324	3	2	598.595	629
Gm5251	chr1	14106365	14139523	0.272401	21.9308	1.92735	3	2	598.595	629
Gm6075	chr1	14140023	14217133	0.272401	23.3903	1.9311	3	2	598.595	629
Gm25166	chr1	14217633	14301456	0.272401	25.1731	1.75044	3	2	598.595	629
Pi15	chr1	14301956	14371993	0.272401	24.6619	2.96542	3	3	598.595	629
Gm28154	chr1	14301956	14371993	0.272401	24.6619	2.96542	3	3	598.595	629
Gm16070	chr1	14372493	14503628	0.272401	22.9243	6.77439	3	7	598.595	629
Crispld1	chr1	14372493	14595009	0.272401	22.9973	7.76634	3	8	598.595	629
Gm28153	chr1	14421775	14595009	0.272401	22.2928	4.85849	3	5	598.595	629
Gm7690	chr1	14645111	14690746	0.272401	24.5063	1.95134	3	2	598.595	629
Gm18775	chr1	14691246	14714447	0.272401	22.2122	2.88086	3	3	598.595	629
Gm17969	chr1	14691246	14714447	0.272401	22.2122	2.88086	3	3	598.595	629
Gm28755	chr1	14703493	14734499	0.272401	24.4408	1.91733	3	2	598.595	629
Gm45784	chr1	14734999	14781055	0.272401	27.7786	2.50221	3	3	598.595	629
Crisp4	chr1	14844814	14937214	0.272401	25.6869	4.9294	3	5	598.595	629
Defb44-ps	chr1	14937714	14966649	0.272401	17.9561	1.77336	3	2	598.595	629
Defb18	chr1	14967149	14981564	0.272401	23.3517	1.91227	3	2	598.595	629
Defb41	chr1	14982064	15040057	0.272401	21.2655	3.76051	3	4	598.595	629
Gm17837	chr1	14982064	15040057	0.272401	21.2655	3.76051	3	4	598.595	629
MGP_FVBNJ_G0004720	chr1	15040557	15201373	0.272401	23.2115	1.9492	3	2	598.595	629
Gm5252	chr1	15440399	15600804	0.272401	24.036	1.95025	3	2	598.595	629
Gm24075	chr1	15699147	15771914	0.272401	22.339	1.82939	3	2	598.595	629
Gm28343	chr1	15772414	15796356	0.272401	23.4377	1.8599	3	2	598.595	629
Gm28344	chr1	15796856	15838200	0.272401	24.4177	1.89204	3	2	598.595	629
Gm15825	chr1	15797299	15884008	0.272401	20.8129	2.79125	3	3	598.595	629
Tfap2d	chr1	15797299	15944059	0.272401	21.642	3.78085	3	4	598.595	629
Tfap2b	chr1	15944559	15978786	0.272401	25.0379	5.76529	3	6	598.595	629
Gm28340	chr1	15979286	16057307	0.272401	27.1255	1.92989	3	2	598.595	629
Gm28341	chr1	16057807	16069013	0.272401	24.4753	1.83303	3	2	598.595	629
Gm4849	chr1	16069513	16102530	0.272401	24.165	1.95602	3	2	598.595	629
MGP_FVBNJ_G0038136	chr1	16245829	16347288	0.272401	24.0433	1.82237	3	2	598.595	629
