gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Dnah7c	chr1	42823007	43398067	0.841806	3	47.28	0.870338	3.75627	4
Pms1	chr1	49747985	50055691	0.401895	3	54.2763	0.748413	2.92569	3
Ccdc150	chr1	50340478	51126681	0.289874	3	47.7097	4.96789e-05	3.96977	4
Pgap1	chr1	50997180	51291923	0.284239	3	48.1245	0.121758	2.97637	3
Ankrd44	chr1	51196179	51787909	0.283426	3	49.8391	0.269218	2.97598	3
4930444A19Rik	chr1	51196179	51787909	0.283426	3	49.8391	0.269218	2.97598	3
Rftn2	chr1	51710015	52160509	0.307974	3	49.2733	0.466628	2.96733	3
Plcl1	chr1	51968515	52447034	0.291351	3	47.6332	0.269218	2.98218	3
1700066M21Rik	chr1	53878940	54062732	0.559619	3	57.9001	5.72492e-06	2.97792	3
Spats2l	chr1	54068280	54758505	-0.226755	3	36.3249	1.18278e-14	2.98837	3
Kctd18	chr1	54356463	54775244	-0.597153	1	26.601	2.94565e-16	2.97975	3
Aox3	chr1	54543428	54806169	-0.612541	1	26.4712	1.79297e-20	2.97465	3
Aox4	chr1	54758874	54896971	-0.620721	1	26.4863	0.000180311	3.9537	4
Aox2	chr1	54806644	54982325	-0.637656	1	25.9167	4.27815e-19	3.9476	4
Als2	chr1	55573021	56374952	0.208364	3	77.8205	0.545966	2.9866	3
Cdk15	chr1	55824713	56377620	0.287639	2	81.9642	0.346927	2.95836	3
Bmpr2	chr1	56378116	56638716	0.245125	2	77.8286	0.798904	2.97733	3
Fam117b	chr1	56451265	56954067	0.256966	3	78.0987	0.149772	2.97504	3
Pard3b	chr1	58164220	60402208	-0.781707	1	33.358	0.735361	4.796	5
Macir	chr1	94021351	99821541	-0.368685	2	18.5138	0.615482	2.93776	3
Cd46	chr1	190656590	190802820	1.15052	5	68.4886	3.21858e-25	3.85816	4
Cr1l	chr1	190786931	190982667	1.09048	5	69.5398	3.86201e-05	2.72222	3
Ptprt	chr2	157227074	158916726	0.230625	2	54.7349	0.0528274	5.9613	6
Kirrel	chr3	81963445	82174801	0.485703	3	38.8091	1.19122e-08	2.97036	3
Alg14	chr3	116116184	122811987	-0.394633	1	23.8215	0.502295	2.96667	3
Astn2	chr4	61906203	62432988	-0.203347	2	21.0845	0.176332	2.98521	3
Tlr4	chr4	62587404	64174982	-0.341757	1	18.4789	0.0381394	2.94072	3
Brinp1	chr4	64509357	65255328	-0.233169	2	18.1214	0.733287	2.98277	3
Draxin	chr4	144494467	145151003	-0.222284	2	22.6992	0.0134104	2.98653	3
Gm42933	chr5	98695936	99072781	0.244675	2	41.4062	0.452954	2.97597	3
Sdk1	chr5	139798723	140245235	0.252543	3	47.4248	0.295442	2.97879	3
Mmd2	chr5	140245245	140746713	0.231066	3	48.6346	0.119429	2.98486	3
Wipi2	chr5	140468963	141090736	0.243523	3	49.3918	0.237111	2.98133	3
