gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm37988	chr1	1874219	1987495	-0.296224	1	18.8994	0.978568	1.5198	2
Tcea1	chr1	1874219	1987495	-0.296224	1	18.8994	0.978568	1.5198	2
Npbwr1	chr1	2868857	3365602	0.29045	2	34.2998	0.55953	1.72801	2
Nras-ps2	chr1	4104072	4267640	0.223662	2	25.3663	0.979013	1.93242	2
1700034P13Rik	chr1	6613070	6710104	-0.257261	2	20.5757	0.980131	1.84981	2
Sgk3	chr1	6709627	6917290	-0.260316	1	20.7719	0.950103	1.85306	2
Cpa6	chr1	7282444	7737752	0.261733	3	29.1186	0.91178	4.46868	5
A830018L16Rik	chr1	8346344	8865237	-0.36977	2	24.8189	0.740633	1.96792	2
Gm7560	chr1	8865247	8933147	-0.339504	2	22.9973	0.982765	2.95656	3
Gm6216	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm29663	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Sulf1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Slco5a1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm37162	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm5250	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm29283	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Prdm14	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm9947	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Msc	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm37412	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm29649	chr1	13465037	13530601	-0.205589	2	21.9142	0.825236	1.96841	2
Jph1	chr1	13783927	14225307	0.470511	3	33.4138	0.97782	1.54431	2
Fam135a	chr1	20671280	21223686	0.20032	5	26.6264	0.864552	1.28645	2
Gm19641	chr1	23886347	23927479	-0.386684	2	13.9841	0.957928	1.90146	2
MGP_FVBNJ_G0007542	chr1	25900896	25968059	0.213429	2	20.7877	0.992983	1.82513	2
Gm7858	chr1	26479747	26533082	0.364055	3	32.4077	0.990254	1.40914	2
Gm6473	chr1	27289455	27467043	-0.327911	1	18.3863	0.970469	1.83126	2
Gm23453	chr1	29904170	30019144	0.378288	4	35.5377	0.938328	1.5211	2
Dst	chr1	30718791	31006298	-0.27664	2	21.4874	0.934224	1.88932	2
Gm28416	chr1	31008908	31025839	-0.279594	1	18.602	0.619142	1.90062	2
Gm37670	chr1	31426233	31548800	-0.201535	2	20.6956	0.803871	1.89717	2
Gm38027	chr1	31426233	31548800	-0.201535	2	20.6956	0.803871	1.89717	2
Cnot11	chr1	36018468	36224146	-0.222393	2	23.9357	0.682823	1.97896	2
4930448I06Rik	chr1	37668474	37881526	-0.294912	1	19.1191	0.366992	1.92945	2
Gm5267	chr1	38617047	39880966	0.346278	4	33.9271	0.70751	1.70957	2
Mrps9	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gm23126	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gpr45	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
MGP_FVBNJ_G0007552	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Tgfbrap1	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gm28782	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
8430432A02Rik	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
AI597479	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Fhl2	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gm29040	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gm29610	chr1	39300476	40368053	-0.326649	2	18.9002	0.733963	1.69652	2
Gulp1	chr1	41212227	41289345	0.437209	3	21.8378	0.727142	2.71287	3
Gm8384	chr1	46507165	46630680	-0.486147	2	25.6712	0.803871	1.88099	2
MGP_FVBNJ_G0009302	chr1	47039147	47191664	0.332231	2	37.1015	0.980131	1.7833	2
Pms1	chr1	49744133	49909163	-0.510492	1	22.4276	0.612318	3.27328	4
Gtf3c3	chr1	50977018	51127680	0.329244	3	40.46	0.975867	3.78167	4
Pgap1	chr1	51126691	51189282	0.392412	3	40.7309	0.893769	1.84478	2
Aox4	chr1	54806179	55207691	0.319103	3	26.2457	0.945386	1.80384	2
Gm18802	chr1	55198517	55319427	0.332704	2	28.797	0.963204	8.76994	10
Flacc1	chr1	55222017	55316416	0.234448	1	27.1745	0.993856	4.49633	5
Gm28803	chr1	55316623	55319427	0.463938	3	29.1123	0.937759	2.46515	3
Fam117b	chr1	56569892	56706620	0.338562	3	33.1866	0.990771	1.60133	2
