gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm38178	chr1	8180177	8270723	-0.348517	2	23.5904	0.517979	1.95933	2
Kcnb2	chr1	12314020	16278571	-0.529075	1	27.8506	0.853431	1.88699	2
Fam135a	chr1	20729035	20859560	0.214133	3	24.0757	0.271069	1.98849	2
Gm37580	chr1	20729035	20859560	0.214133	3	24.0757	0.271069	1.98849	2
Gm26607	chr1	20729035	20859560	0.214133	3	24.0757	0.271069	1.98849	2
Col9a1	chr1	20794258	21072313	0.273292	3	25.0334	0.639713	1.982	2
Ptp4a1	chr1	27475229	28614797	0.266934	3	61.8693	0.848522	1.97773	2
MGP_FVBNJ_G0009299	chr1	34453712	38372645	-0.489482	1	15.8698	0.683971	1.90481	2
Nck2	chr1	40024316	40332276	0.294588	3	32.4745	0.640133	2.97102	3
Gm38228	chr1	40024316	40131173	0.290641	3	32.5045	0.640133	1.97682	2
Ecrg4	chr1	40131340	40349921	0.287385	3	32.1428	0.0380135	1.97957	2
Gm29155	chr1	40131340	40349921	0.287385	3	32.1428	0.0380135	1.97957	2
Gm29157	chr1	40131340	40349921	0.287385	3	32.1428	0.0380135	1.97957	2
Gm29156	chr1	40131340	40349921	0.287385	3	32.1428	0.0380135	1.97957	2
Uxs1	chr1	40131340	40404416	0.296918	3	32.6514	0.0380135	2.96266	3
Gm16103	chr1	40131340	40349921	0.287385	3	32.1428	0.0380135	1.97957	2
Slc39a10	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm28151	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm37393	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm28527	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm23460	chr1	48908252	49820619	0.255105	2	36.7383	0.589829	1.98168	2
Nab1	chr1	48908252	49820619	0.255105	2	36.7383	0.589829	1.98168	2
Pms1	chr1	49751755	49908484	0.254157	3	36.836	0.591976	1.978	2
Ormdl1	chr1	49751755	49908484	0.254157	3	36.836	0.591976	1.978	2
Gm28778	chr1	49751755	49908484	0.254157	3	36.836	0.591976	1.978	2
Osgepl1	chr1	49751755	49908484	0.254157	3	36.836	0.591976	1.978	2
Gm28551	chr1	49751755	50057937	0.512495	3	36.985	0.591976	2.83574	3
Gm18800	chr1	49751755	50057937	0.512495	3	36.985	0.591976	2.83574	3
Asnsd1	chr1	49821403	50057937	0.618348	2	30.3037	0.982887	1.84854	2
Gm18849	chr1	49821403	50057937	0.618348	2	30.3037	0.982887	1.84854	2
Gm28779	chr1	49821403	50057937	0.618348	2	30.3037	0.982887	1.84854	2
Gm6799	chr1	49821403	50057937	0.618348	2	30.3037	0.982887	1.84854	2
Gm6801	chr1	49821403	50057937	0.618348	2	30.3037	0.982887	1.84854	2
Casp8	chr1	55466855	55524671	0.364325	3	59.3945	0.939275	1.95293	2
Pard3b	chr1	58540012	60402208	-0.343687	2	18.2478	0.588185	1.95623	2
Gm29640	chr1	58540012	60402208	-0.343687	2	18.2478	0.588185	1.95623	2
Gm29641	chr1	58540012	60402208	-0.343687	2	18.2478	0.588185	1.95623	2
Crygf	chr1	62487437	62509234	-0.339444	3	18.364	0.108453	1.8299	2
Gm8809	chr1	62598117	62738748	0.252552	3	23.4857	0.0134588	1.99009	2
Gm15659	chr1	62598117	62738748	0.252552	3	23.4857	0.0134588	1.99009	2
Gm8812	chr1	62598117	62738748	0.252552	3	23.4857	0.0134588	1.99009	2
Unc80	chr1	63198650	68423664	-0.385332	2	15.1638	0.847206	1.92617	2
Gm37181	chr1	63198650	68423664	-0.385332	2	15.1638	0.847206	1.92617	2
Rpe	chr1	63198650	68423664	-0.385332	2	15.1638	0.847206	1.92617	2
Kansl1l	chr1	63198650	68423664	-0.385332	2	15.1638	0.847206	1.92617	2
Gm37570	chr1	63198650	68423664	-0.385332	2	15.1638	0.847206	1.92617	2
