gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm30414	chr1	4436368	5709545	0.237533	3	21.1705	0.764025	2.80642	3
Sntg1	chr1	5708611	6709617	-0.336057	1	20.982	0.734794	1.94268	2
A830018L16Rik	chr1	8634257	8974975	-0.234019	2	22.1754	0.979685	1.97209	2
Ncoa2	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm23169	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm38120	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm38380	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm29570	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm7593	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Tram1	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Lactb2	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Gm38319	chr1	10087310	11821677	-0.254448	2	23.4173	0.711993	1.96213	2
Pkhd1	chr1	17008752	18069581	0.404776	3	28.5761	0.985735	1.87518	2
B3gat2	chr1	20390500	20608332	0.264097	2	25.5015	0.938199	1.89648	2
Col9a1	chr1	20859570	21424364	0.263166	3	29.1631	0.892717	1.89553	2
Gm15702	chr1	21757899	21901508	-0.23291	2	21.329	0.879297	1.96688	2
Gm19123	chr1	23047676	23165242	-0.267356	1	19.6151	0.984747	2.93189	3
Gm38089	chr1	24985966	25484152	0.201147	2	23.6869	0.942418	1.88752	2
Mgat4a	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Cracdl	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
4930556I23Rik	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
4930470B04Rik	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Gm19863	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Tsga10	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Gm26805	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Lipt1	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Mitd1	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Mrpl30	chr1	34015399	35134927	0.355931	2	37.7627	0.997579	1.81772	2
Aff3	chr1	35134555	35438815	0.418869	4	37.5522	0.904741	2.61629	3
Pantr1	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
4930420N18Rik	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
Gm20646	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
Pou3f3	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
Pantr2	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
Dalir	chr1	39029509	39881189	0.248003	2	24.4587	0.957318	1.86091	2
Gm20118	chr1	47015858	47354261	0.238942	3	25.1723	0.892945	1.96609	2
Hibch	chr1	49351755	49820846	-0.445217	2	19.0743	0.950525	1.81759	2
Gm16107	chr1	49351755	49820846	-0.445217	2	19.0743	0.950525	1.81759	2
Gm28551	chr1	49820629	50073197	-0.939635	1	10.0519	0.993792	1.09893	2
Gm18800	chr1	49820629	50073197	-0.939635	1	10.0519	0.993792	1.09893	2
1700066M21Rik	chr1	53946512	55198427	-0.516179	1	15.2036	0.903335	1.81108	2
Gm7855	chr1	53946512	55198427	-0.516179	1	15.2036	0.903335	1.81108	2
Gm18802	chr1	55197757	56690517	-0.289583	1	19.273	0.987354	3.58464	4
Ikzf2	chr1	66067651	67010226	0.296601	3	23.4208	0.884634	2.85295	3
MGP_FVBNJ_G0004811	chr1	68719356	68940742	0.542846	4	31.5241	0.955496	1.71248	2
Marchf4	chr1	68938934	70350602	0.482125	3	34.2326	0.972786	1.90851	2
Gm28058	chr1	76378681	76811764	0.254564	2	29.4407	0.981108	1.90272	2
Gm38339	chr1	76378681	76811764	0.254564	2	29.4407	0.981108	1.90272	2
1700016L21Rik	chr1	76811774	76905458	-0.305423	2	22.4233	0.960985	1.96057	2
Dock10	chr1	76902473	77517597	-0.218319	1	22.741	0.635656	2.96399	3
Gm28066	chr1	77273276	77518051	-0.502576	2	17.5382	0.977095	1.85571	2
Trip12	chr1	81081776	81980453	-0.441788	2	20.1497	0.859892	1.60761	2
Gm38374	chr1	81081776	81980453	-0.441788	2	20.1497	0.859892	1.60761	2
Gm37738	chr1	81081776	81980453	-0.441788	2	20.1497	0.859892	1.60761	2
Fbxo36	chr1	81081776	81980453	-0.441788	2	20.1497	0.859892	1.60761	2
