gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Dnah7c	chr1	42829810	43344315	-0.282988	3	19.7512	0.931106	3.36845	5
Gm18802	chr1	55197757	56690517	-0.289583	1	19.273	0.987354	3.58464	4
Nyap2	chr1	77273276	79273610	-0.369915	2	20.13	0.977095	2.85233	3
Sp100	chr1	81980243	82371736	-0.397148	1	23.8438	0.996136	2.59911	3
4933407L21Rik	chr1	82018351	82530069	-0.217773	1	27.1248	0.420588	2.97786	3
Armc9	chr1	82373910	82893863	-0.233037	2	26.8025	0.853644	2.981	3
Dis3l2	chr1	83023147	83491778	-0.239644	2	25.0458	0.747587	5.90015	6
Gm28375	chr1	83241111	83491778	-0.275919	2	24.5309	0.880293	2.92625	3
Sag	chr1	83532604	84422581	-0.223414	2	26.7498	0.0184009	2.98186	3
Dgkd	chr1	84231465	84440043	-0.331583	2	22.7123	0.717389	2.8625	3
Ugt1a10	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Gm20528	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a9	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a8	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a7c	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a6b	chr1	84463658	86944468	-0.31729	1	22.4663	0.316148	3.82077	4
Ugt1a6a	chr1	84567069	86944468	-0.336544	1	21.7581	0.999193	2.82804	3
Macir	chr1	94021351	94811420	-0.203376	2	22.0608	0.741415	2.97209	3
Cntnap5b	chr1	96207979	97192856	-0.225933	2	20.5032	0.883316	4.93464	5
Serpinb3a	chr1	103548020	104867053	0.531005	3	20.1336	0.81898	2.7681	3
Cdh19	chr1	107083772	107257131	0.397135	3	22.7748	0.977911	2.90931	3
Thsd7b	chr1	126090389	126448602	0.33921	2	28.8672	0.985473	2.77708	3
Gm16332	chr1	136037916	136089233	0.207541	3	23.0086	0.856896	2.70582	3
Cfh	chr1	136247311	136889322	0.243719	3	21.5973	0.436636	2.8989	3
Rgs21	chr1	140527407	140673609	0.335865	3	23.2437	0.977911	2.91559	3
Lmx1a	chr1	163369934	164338248	0.284406	2	25.3738	0.942418	2.88498	3
Gm18445	chr1	169577443	169808634	-0.273716	2	18.24	0.944376	2.92319	3
Adss	chr1	173414979	173600700	-0.331448	2	19.9421	0.998954	2.60921	3
Gm16585	chr1	173414979	173600700	-0.331448	2	19.9421	0.998954	2.60921	3
Cd46	chr1	190656590	190802820	1.13322	5	65.8579	1.40298e-22	4.604	5
Cr1l	chr1	190774108	190982667	1.05164	5	66.1104	0.776438	3.47572	4
Celf2	chr2	4216418	5300041	0.577028	4	27.2636	0.415493	3.70851	4
Hnmt	chr2	20494367	20836025	-0.314863	2	19.9017	0.975641	2.89254	3
Set	chr2	26748842	28572679	-0.251141	0	25.6652	0.766094	2.1501	3
Gm28635	chr2	80834695	81087133	-0.724551	1	18.0025	0.55668	2.69286	3
Btbd18	chr2	80834695	81087133	-0.724551	1	18.0025	0.55668	2.69286	3
Cds2	chr2	128327990	128545885	-0.222866	1	17.3732	0.875045	2.96424	3
A430048G15Rik	chr2	129424692	132975046	0.213093	2	17.6313	0.795811	2.87708	3
Zhx3	chr2	156557585	157757907	0.358098	3	47.7644	8.43511e-05	3.89863	4
Ptprt	chr2	157227074	158916726	0.314165	3	46.9135	0.000227271	10.803	11
Gm11451	chr2	158956576	159155553	0.259664	3	48.8281	0.884328	2.9672	3
Mybl2	chr2	158992662	159492712	0.205245	3	49.2332	0.218046	2.98196	3
Zfp831	chr2	170991454	171439023	-0.22718	1	35.6658	0.0401431	2.98514	3
Gm5843	chr3	11212014	11266008	0.258515	3	25.6138	0.98703	2.70903	3
Nbea	chr3	51204536	52393280	-0.30285	2	16.9328	0.995052	2.88451	3
4930593A02Rik	chr3	53747261	54498141	-0.375917	2	16.1444	0.836818	2.67519	3
Gmps	chr3	58984788	59664836	0.483493	2	20.7219	0.707738	2.58882	3
Iqcj	chr3	63030825	63847278	-0.28005	2	16.7654	0.587179	2.91891	3
Iqschfp	chr3	63030825	64854454	-0.226412	2	18.0255	0.587179	4.911	5
Fstl5	chr3	71566878	71919756	0.245359	3	18.257	0.933266	3.87451	4
Kirrel	chr3	81963445	82174801	0.598664	3	34.2315	0.000129822	3.83326	4
Gon4l	chr3	83777253	84100079	-0.540625	0	14.709	0.922011	2.34909	3
Pde4dip	chr3	92558446	93377023	-0.295564	2	17.9359	0.826801	4.81845	5
Phgdh	chr3	93377033	93548321	-0.497584	2	15.7255	0.913475	2.69308	3
6530403H02Rik	chr3	115433303	115769487	-0.292045	2	20.5955	0.973268	2.77669	3
Alg14	chr3	116116184	116679093	-0.332099	1	21.6755	0.396424	2.97055	3
Alpk1	chr3	122531402	122812540	-0.436984	2	19.4572	0.747587	2.88468	3
Gm29865	chr3	126485845	127229515	-0.352613	1	18.2615	0.00374338	2.98204	3
St6galnac3	chr3	147474576	149020153	-0.231737	2	18.721	0.00330426	2.98559	3
Astn2	chr4	61380280	63219370	0.224423	3	20.3022	0.92563	2.88966	3
Dab1	chr4	98913387	100639618	-0.205739	1	16.9604	0.630596	8.92517	9
Pramel21	chr4	99616059	100330461	-0.206371	2	17.2382	0.655651	2.97526	3
Agbl4	chr4	105899614	107355713	-0.259985	2	15.5744	0.718429	10.6543	11
Bend5	chr4	106506135	106757163	-0.218243	2	17.3131	0.512177	2.97584	3
9130410C08Rik	chr4	110202947	110620369	-0.331926	2	15.6425	0.294097	2.93004	3
Cyp4b1	chr4	111177731	111469504	-0.377483	1	15.6472	0.920999	2.86627	3
Zfp989	chr4	141932622	142060838	-0.492117	1	16.7257	0.965126	2.69675	3
Zfp978	chr4	143026906	143226058	0.471264	4	23.2878	0.836818	3.42257	4
Zfp600	chr4	143026906	143658646	0.266474	4	23.6521	0.836818	7.00572	8
