gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
4930403P22Rik	chr1	32780714	32817585	0.304809	34.8197	1.95382	3	2	10.7002	8
Kansl3	chr1	32783683	32817530	0.304809	31.5589	9.73961	3	10	10.7002	8
Mir6898	chr1	32783683	32816470	0.304809	33.0222	5.84604	3	6	10.7002	8
Rnf25	chr1	71083339	71090937	0.430581	36.9641	7.0843	3	9	7.0843	6
Stk36	chr1	71083339	71090937	0.430581	35.9657	6.33243	3	8	7.0843	6
Cnppd1	chr1	71571653	71585847	-0.260371	25.9509	8.69242	1	9	14.5006	12
Retreg2	chr1	71579881	71583699	-0.260371	22.0786	6.789	1	8	14.5006	12
Olfr418	chr1	169011325	169084657	-0.222539	18.807	1.89458	2	2	69.667	74
Ackr1	chr1	169085157	169125905	-0.222539	20.2896	4.85744	2	5	69.667	74
Cadm3	chr1	169085157	169185097	-0.222539	21.5312	9.7717	2	10	69.667	74
Aim2	chr1	169086529	169225197	-0.222539	23.434	12.7237	2	13	69.667	74
Ifi206	chr1	169225697	169311342	-0.222539	19.7202	2.65465	2	3	69.667	74
Gm18752	chr1	169225697	169311342	-0.222539	19.7202	2.65465	2	3	69.667	74
Ifi207	chr1	169475957	169517528	-0.222539	23.7152	2.89128	2	3	69.667	74
Ifi204	chr1	169499773	169544735	-0.222539	20.5214	2.792	2	3	69.667	74
Gm7897	chr1	169590570	169606363	-0.222539	16.4467	1.53199	2	2	69.667	74
Gm38050	chr1	169604741	169706071	-0.222539	17.585	2.68573	2	3	69.667	74
Gm18445	chr1	169604741	169792755	-0.222539	17.7612	5.44006	2	6	69.667	74
Ifi203	chr1	169606218	169725825	-0.222539	15.4382	2.61459	2	3	69.667	74
Ifi202b	chr1	169606218	169792755	-0.222539	17.1157	4.46377	2	5	69.667	74
Ifi211	chr1	169772739	169803594	-0.222539	16.7621	3.66214	2	4	69.667	74
Ifi205	chr1	169772739	169803594	-0.222539	16.7621	3.66214	2	4	69.667	74
Olfr433	chr1	169804094	169817083	-0.222539	17.2076	1.8673	2	2	69.667	74
Olfr432	chr1	169817583	169819617	-0.222539	21.0325	1.89604	2	2	69.667	74
Olfr431-ps1	chr1	169819079	169833361	-0.222539	21.9394	1.92023	2	2	69.667	74
