gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Nck2	chr1	40024316	40332276	0.294588	3	32.4745	0.640133	2.97102	3
Uxs1	chr1	40131340	40404416	0.296918	3	32.6514	0.0380135	2.96266	3
Slc39a10	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm28151	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm37393	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm28527	chr1	43423895	44631285	-0.3446	2	17.1589	0.126537	2.89826	3
Gm28551	chr1	49751755	50057937	0.512495	3	36.985	0.591976	2.83574	3
Gm18800	chr1	49751755	50057937	0.512495	3	36.985	0.591976	2.83574	3
Pam	chr1	94287808	95480978	-0.342838	1	16.1284	0.894872	3.8974	4
Abhd18	chr3	36736280	37033876	-0.46593	1	15.209	0.987099	3.83787	4
Mbnl1	chr3	55937128	56544227	-0.567649	1	13.9693	0.740639	2.7986	3
Gm11906	chr4	21104133	31444289	0.235058	3	29.1019	0.88649	2.96406	3
Ptprd	chr4	72923492	80080764	-0.310746	2	15.1734	0.811931	2.9149	3
Gm4868	chr5	123358941	149462173	0.219752	3	29.8327	0.116833	2.98562	3
Ctnna2	chr6	73901411	79912224	-0.38539	1	19.0412	4.05924e-07	7.87107	8
Gm44438	chr6	73901411	74023951	-0.351952	1	21.2848	4.05924e-07	2.97933	3
Gm44286	chr6	73901411	74023951	-0.351952	1	21.2848	4.05924e-07	2.97933	3
Cntnap4	chr8	108854527	109833225	0.334648	3	36.5483	0.882351	4.96226	5
Rbms3	chr9	113142174	115853047	-0.816027	0	12.4433	8.58169e-16	4.87141	5
Ewsr1	chr11	1966084	18317490	-0.484221	1	20.2059	0.708796	2.85395	3
Psma3	chr12	66899068	67894029	-0.385745	1	15.938	0.913775	2.85624	3
H3c6	chr13	19770754	19789216	-0.443341	1	18.2489	0.847206	2.88119	3
H3c7	chr13	19770754	19789216	-0.443341	1	18.2489	0.847206	2.88119	3
H2bc6	chr13	19813074	23766158	-0.37187	1	18.6221	0.915767	2.91657	3
Gmds	chr13	28099886	28957362	-0.606374	1	10.4499	0.298795	2.84915	3
Zfp85os	chr13	64097733	71181279	-0.398962	2	14.6097	0.915767	3.86376	4
9430065F17Rik	chr13	64097733	64266314	-0.22518	2	16.8655	0.915767	2.96526	3
Fcho2	chr13	95198651	96876522	-0.475471	2	13.0281	0.80068	2.8493	3
Arl15	chr13	110299274	112469353	-0.274634	1	16.6887	0.565771	2.82327	3
Nrg3	chr14	31058493	36167344	-0.327426	1	12.4135	0.888017	3.92607	4
Nrg3os	chr14	31075720	36167344	-0.349583	1	12.4542	0.261049	2.94043	3
Rnase4	chr14	43032649	46661133	-0.210103	1	18.5356	0.0231706	2.98315	3
Enox1	chr14	69263090	73059607	-1.01703	1	7.89295	0.349801	2.48813	3
Klhl1	chr14	87853049	88352117	-0.276505	2	12.2575	0.735896	2.94786	3
Gpc6	chr14	108243930	115534528	-0.221582	2	13.1156	0.697185	5.94814	6
Sod2	chr17	10156570	10908048	-0.386319	1	22.8353	0.918228	2.89588	3
Gm20530	chr17	32201149	34289487	-0.579832	1	15.5555	0.8665	2.79827	3
Cask	chrX	8224371	12531500	-0.200422	2	24.3883	0.645262	3.9691	4
Aff2	chrX	64247924	65304606	0.365581	1	21.1652	0.950611	2.71966	3
Dmd	chrX	78418795	80705750	-0.696009	1	8.84666	0.363728	8.33887	9
Il1rapl1	chrX	82352609	85536859	-0.685998	1	10.4791	0.645297	2.79169	3
Chm	chrX	108248153	108624317	-0.396466	1	11.7561	0.0841014	3.89913	4
Pcdh11x	chrX	115614102	116426548	-0.566689	1	9.90371	0.978412	2.80285	3
Diaph2	chrX	125015437	125953290	-0.231485	2	13.4317	0.436854	4.92107	5
Kir3dl2	chrX	131652774	136622075	-0.465367	1	11.4664	0.653478	2.84043	3
Col4a6	chrX	136597785	141024694	-0.641224	2	11.092	0.858217	2.86486	3
Gm15079	chrX	136597785	141024694	-0.641224	2	11.092	0.858217	2.86486	3
