gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
Ndufs1	chr1	59783964	59786502	-0.233194	24.7171	1.96257	2	2	12.4454	12
Eef1b2	chr1	59783964	59786275	-0.233194	23.4862	12.4454	2	13	12.4454	12
MGP_FVBNJ_G0009304	chr1	59783964	59785894	-0.233194	23.7561	10.649	2	11	12.4454	12
Gm26457	chr1	59783964	59786275	-0.233194	23.4862	12.4454	2	13	12.4454	12
MGP_FVBNJ_G0038162	chr1	59783964	59786275	-0.233194	23.4862	12.4454	2	13	12.4454	12
Snora41	chr1	59783964	59786275	-0.233194	23.4862	12.4454	2	13	12.4454	12
Ugt1a10	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Gm20528	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Ugt1a9	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Ugt1a8	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Ugt1a7c	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Ugt1a6b	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Gm15372	chr1	84464774	84658645	0.319605	26.6281	11.8828	3	12	26.6256	16
Ugt1a6a	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Gm15374	chr1	84464774	84654898	0.319605	26.9358	12.8796	3	13	26.6256	16
Gm15373	chr1	84464774	84654898	0.319605	26.9358	12.8796	3	13	26.6256	16
Gm15370	chr1	84464774	84654898	0.319605	26.9358	12.8796	3	13	26.6256	16
Gm15371	chr1	84464774	84654898	0.319605	26.9358	12.8796	3	13	26.6256	16
Ugt1a5	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Gm15368	chr1	84464774	84630115	0.319605	28.417	15.7978	3	16	26.6256	16
Gm15376	chr1	84464774	84658645	0.319605	28.8281	16.754	3	17	26.6256	16
Ugt1a2	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Dnajb3	chr1	84464774	84658645	0.319605	29.5944	18.6425	3	19	26.6256	16
Ugt1a1	chr1	84464774	84707282	0.319605	32.0843	21.7249	3	23	26.6256	16
Hjurp	chr1	84707782	84723716	0.319605	43.8545	4.90065	3	6	26.6256	16
Gm23534	chr1	133523597	133681976	0.218774	26.8135	1.5225	3	2	126.05	129
Gm22727	chr1	133881546	133910439	0.218774	20.8671	1.78813	3	2	126.05	129
Gm37099	chr1	133910939	133958279	0.218774	32.1672	1.935	3	2	126.05	129
Gm37293	chr1	133958779	134049474	0.218774	36.5273	1.94094	3	2	126.05	129
Gm4258	chr1	134049974	134200668	0.218774	30.4888	19.3613	3	20	126.05	129
Gm37298	chr1	134049977	134073009	0.218774	29.7038	2.966	3	3	126.05	129
Gm26979	chr1	134049977	134078072	0.218774	29.7063	3.94947	3	4	126.05	129
Gm37124	chr1	134049977	134081964	0.218774	29.7568	4.93386	3	5	126.05	129
A130050O07Rik	chr1	134049977	134084964	0.218774	30.4677	7.89305	3	8	126.05	129
Gm26936	chr1	134049977	134124326	0.218774	30.7276	15.568	3	16	126.05	129
Gm26930	chr1	134049977	134089289	0.218774	30.1364	8.81605	3	9	126.05	129
D130019J16Rik	chr1	134049977	134101238	0.218774	30.0569	9.80515	3	10	126.05	129
Gm37534	chr1	134049977	134121703	0.218774	29.9611	11.7809	3	12	126.05	129
Mir181a-1	chr1	134049977	134119196	0.218774	30.8817	14.5886	3	15	126.05	129
