gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
Odr4	chr1	146301844	146359132	0.304467	32.0334	1.9764	3	2	25.5912	20
Tpr	chr1	146301844	146374646	0.304467	31.8747	13.7832	3	14	25.5912	20
Prg4	chr1	146301844	146458375	0.304467	32.3488	15.5356	3	16	25.5912	20
Ska2l-ps	chr1	146458875	146471573	0.304467	35.0295	1.92383	3	2	25.5912	20
Hmcn1	chr1	146472073	146696294	0.304467	34.9031	8.13172	3	9	25.5912	20
Gm20631	chr1	146472073	146696294	0.304467	34.9031	8.13172	3	9	25.5912	20
Aida	chr1	179100370	179150324	0.279253	31.2526	6.6367	3	7	12.5294	6
Mia3	chr1	179130954	179174452	0.279253	44.3408	6.87628	3	7	12.5294	6
Mia3	chr1	179130954	179176366	0.807559	46.5119	6.86059	4	7	540.529	548
Gm37339	chr1	179175974	179193130	0.807559	50.5023	1.93348	4	2	540.529	548
Taf1a	chr1	179193630	179218309	0.807559	49.3219	4.9216	4	5	540.529	548
Gm37986	chr1	179217926	179222277	0.807559	51.6753	1.90288	4	2	540.529	548
Hhipl2	chr1	179221663	179312352	0.807559	48.6073	5.89389	4	6	540.529	548
MGP_FVBNJ_G0036651	chr1	179221909	179312352	0.807559	48.8021	4.94575	4	5	540.529	548
Gm33973	chr1	179312852	179421951	0.807559	46.4675	1.96659	4	2	540.529	548
Gm8214	chr1	179422451	179490285	0.807559	44.2372	1.95441	4	2	540.529	548
Gm34068	chr1	179490785	179659299	0.807559	47.6976	1.99332	4	2	540.529	548
Gm38332	chr1	179659799	179670886	0.807559	46.2116	1.8896	4	2	540.529	548
Gm38108	chr1	179670060	179756114	0.807559	48.8279	1.93886	4	2	540.529	548
Dusp10	chr1	179756614	179960454	0.807559	48.6646	4.93909	4	5	540.529	548
1700056E22Rik	chr1	179756614	179823869	0.807559	49.0189	3.94301	4	4	540.529	548
Gm37223	chr1	180097040	180182441	0.807559	42.1047	7.86719	4	8	540.529	548
Gm37712	chr1	180097040	180134712	0.807559	41.7851	6.87267	4	7	540.529	548
2900092O11Rik	chr1	180182941	180267108	0.807559	44.2804	1.91897	4	2	540.529	548
1700112H15Rik	chr1	180267608	180319047	0.807559	45.1816	1.98264	4	2	540.529	548
Gm23349	chr1	180319547	180346910	0.807559	44.9396	1.77825	4	2	540.529	548
