gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Tfap2b	chr1	15938516	16103031	0.220953	3	61.6084	0.191308	2.9409	3
Dnah7c	chr1	42728962	43266453	0.271183	0	33.6618	0.117395	5.58331	6
Ccdc150	chr1	50340478	50980143	0.327503	3	48.8115	0.000434471	3.935	4
Gtf3c3	chr1	50977018	51188283	0.35975	3	49.3279	0.814764	2.94395	3
Pgap1	chr1	50997180	51291923	0.287942	3	49.5017	0.149088	2.97634	3
Ankrd44	chr1	51196179	51787909	0.278575	3	51.0688	0.330117	2.97596	3
4930444A19Rik	chr1	51196179	51787909	0.278575	3	51.0688	0.330117	2.97596	3
Rftn2	chr1	51710015	52160509	0.322857	3	51.1271	0.611888	2.96728	3
Plcl1	chr1	51968515	52447034	0.27719	3	48.1374	0.321101	3.97259	4
1700066M21Rik	chr1	53878940	54062732	0.54629	3	58.9768	3.08835e-05	2.97788	3
Spats2l	chr1	54068280	54758505	-0.236533	3	37.1441	8.75329e-13	2.98835	3
Kctd18	chr1	54356463	54775244	-0.636681	1	26.6652	1.1314e-16	2.97971	3
Aox3	chr1	54543428	54806169	-0.649091	1	26.5446	1.26796e-19	2.9746	3
Aox4	chr1	54758874	54896971	-0.661594	1	26.3601	4.81889e-07	3.9536	4
Aox2	chr1	54806644	54982325	-0.632893	1	26.5828	1.35007e-17	3.94751	4
Als2	chr1	55573021	56374952	0.218322	3	80.5902	0.515287	2.98658	3
Cdk15	chr1	55824713	56450244	0.21749	3	79.0594	0.152032	2.98633	3
Bmpr2	chr1	56378116	56638716	0.25061	3	79.5914	0.608971	2.97729	3
Fam117b	chr1	56451265	56954067	0.259999	3	79.6906	0.0926606	2.975	3
Nbeal1	chr1	56763316	57449416	-0.357819	3	60.6903	0.72266	2.55712	3
Pard3b	chr1	58164220	60854175	-0.625568	1	35.5767	0.585136	4.83341	5
1700025C18Rik	chr2	160841273	161646990	-0.201442	2	46.5202	0.0616123	2.98947	3
Kirrel	chr3	81963445	82174801	0.459731	3	38.4935	3.2756e-09	2.97032	3
0	chr4	52412947	147328563	-0.228432	2	21.8456	0.642467	41.8356	43
Astn2	chr4	61906203	62698672	-0.217761	2	21.4456	0.115634	2.98765	3
Tlr4	chr4	62587404	63659120	-0.25177	1	19.7593	0.0602022	2.97776	3
Ptprd	chr4	73599771	83692512	-0.24585	1	24.9019	0.226035	2.81954	3
Zfp600	chr4	143135041	144248699	-0.829519	1	10.7789	0.10011	2.78005	3
Draxin	chr4	144494467	145151003	-0.302509	1	22.8265	4.05009e-05	2.98651	3
Mtor	chr4	144788610	145736034	-0.249618	1	24.1768	3.84795e-06	2.9864	3
Dffa	chr4	145771174	146433654	-0.376875	1	21.0627	0.754647	2.9198	3
Rere	chr4	146886724	147618390	-0.211366	2	23.6586	0.176962	2.98366	3
Cabp1	chr5	111881182	112369096	-0.267103	2	27.1593	0.0151999	2.98226	3
Rab35	chr5	112444259	113250293	-0.262087	1	27.0884	0.000678228	2.98808	3
Clip2	chr5	130303250	135262516	-0.222763	3	32.4296	0.84847	2.78904	3
Sdk1	chr5	139798723	140245235	0.241899	3	47.0578	0.368498	2.97876	3
Mmd2	chr5	140245245	140746713	0.249813	3	49.065	0.0609335	2.98483	3
Wipi2	chr5	140468963	141090736	0.263692	3	49.8924	0.146562	2.9813	3
Mef2a	chr7	65882632	67192502	-0.27879	1	29.9202	0.00828595	2.98956	3
Fat3	chr9	12355477	25205845	-0.573933	0	18.8458	0.0545969	2.83793	3
Hykk	chr9	51277250	53650446	-0.340503	1	20.4855	8.89202e-06	2.98927	3
AU041133	chr10	78415941	78679559	-0.29992	1	23.9479	0.753973	2.97092	3
Tubb2b	chr13	30394198	40902141	-0.246751	3	20.4691	0.653385	2.8579	3
Trav7-4	chr14	45155709	45687559	0.287644	3	28.9043	0.801898	4.61177	5
Trav6-3	chr14	45155709	45687559	0.287644	3	28.9043	0.801898	4.61177	5
0	chr17	10770134	85480237	-0.317201	1	19.7317	0.00367011	19.4545	21
Srbd1	chr17	84241147	84563473	-0.246358	2	13.6481	0.197801	2.97788	3
Prkce	chr17	84542838	85480237	-0.244411	1	13.9559	0.68803	3.9791	4
Stpg4	chr17	85490156	86272336	-0.211046	2	14.2055	0.0179236	2.98478	3
Kdm2a	chr19	1162338	2910480	0.327472	3	37.6883	0.0564205	2.94843	3
Slc16a2	chrX	98821467	99360177	-0.37345	2	13.6725	0.632341	2.92369	3
Pcdh11x	chrX	115479209	117323538	0.836424	4	21.8782	0.729285	4.69721	5
Gm6228	chrX	130730688	131106571	-1.18118	1	5.59663	0.219677	2.39991	3
Gm6221	chrX	130730688	131106571	-1.18118	1	5.59663	0.219677	2.39991	3
Col4a5	chrX	136729836	138252192	-0.748737	0	8.55791	0.0447041	2.82382	3
Gm15155	chrX	151210835	152297302	1.16756	5	25.7785	0.230075	3.47807	4
Cnksr2	chrX	153141895	154184156	0.23798	4	14.4957	0.986398	2.79832	3
Scml2	chrX	156371925	157227325	-0.67067	0	9.86249	0.00155197	2.22273	3
