gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
Mia3	chr1	179130954	179176366	0.930771	39.59	7.78647	4	8	538.731	553
Gm37339	chr1	179175974	179193130	0.930771	46.1865	1.91337	4	2	538.731	553
Taf1a	chr1	179193630	179218309	0.930771	49.0761	4.89083	4	5	538.731	553
Gm37986	chr1	179217926	179222277	0.930771	49.818	1.87423	4	2	538.731	553
Hhipl2	chr1	179221663	179312352	0.930771	46.1321	5.86263	4	6	538.731	553
MGP_FVBNJ_G0036651	chr1	179221909	179312352	0.930771	46.9046	4.92714	4	5	538.731	553
Gm33973	chr1	179312852	179421951	0.930771	45.8492	1.95136	4	2	538.731	553
Gm8214	chr1	179422451	179490285	0.930771	45.6114	1.93557	4	2	538.731	553
Gm34068	chr1	179490785	179659299	0.930771	44.5408	1.99032	4	2	538.731	553
Gm38332	chr1	179659799	179670886	0.930771	47.9773	1.85285	4	2	538.731	553
Gm38108	chr1	179670060	179756114	0.930771	48.9543	1.92608	4	2	538.731	553
Dusp10	chr1	179756614	179960454	0.930771	44.6778	4.91528	4	5	538.731	553
1700056E22Rik	chr1	179756614	179823869	0.930771	44.9441	3.92068	4	4	538.731	553
Gm37223	chr1	180097040	180182441	0.930771	37.2032	7.84941	4	8	538.731	553
Gm37712	chr1	180097040	180134712	0.930771	37.0269	6.8574	4	7	538.731	553
2900092O11Rik	chr1	180182941	180267108	0.930771	41.0031	1.90567	4	2	538.731	553
1700112H15Rik	chr1	180267608	180319047	0.930771	40.2961	1.97706	4	2	538.731	553
Gm23349	chr1	180319547	180346910	0.930771	48.5552	1.74326	4	2	538.731	553
Gm37800	chr1	180347410	180370803	0.930771	43.9982	3.81323	4	4	538.731	553
Rpl21-ps1	chr1	180347410	180370803	0.930771	43.9982	3.81323	4	4	538.731	553
4930488B22Rik	chr1	180450389	180470423	0.930771	39.9063	1.95657	4	2	538.731	553
Hlx	chr1	180465014	180477829	0.930771	39.4053	2.87539	4	3	538.731	553
Gm34342	chr1	180475051	180524953	0.930771	38.6081	1.92402	4	2	538.731	553
Mtarc1	chr1	180525453	180583478	0.930771	43.2264	2.97878	4	3	538.731	553
Mtarc2	chr1	180551440	180595399	0.930771	44.4728	11.621	4	12	538.731	553
Mir1981	chr1	180551440	180583168	0.930771	44.4941	9.64227	4	10	538.731	553
MGP_FVBNJ_G0009317	chr1	180595899	180610005	0.930771	43.8235	1.91769	4	2	538.731	553
C130074G19Rik	chr1	180610505	180635017	0.930771	43.8058	1.97704	4	2	538.731	553
Mark1	chr1	180635517	180819568	0.930771	48.6995	3.70885	4	4	538.731	553
Gm38251	chr1	180635517	180819568	0.930771	48.6995	3.70885	4	4	538.731	553
4930433J02Rik	chr1	180820068	180833526	0.930771	45.0941	1.97361	4	2	538.731	553
Gm37662	chr1	180825977	180932742	0.930771	45.84	1.97949	4	2	538.731	553
Rab3gap2	chr1	180933242	181060544	0.930771	44.5935	13.588	4	14	538.731	553
MGP_FVBNJ_G0038221	chr1	180933242	180976695	0.930771	45.4737	6.69219	4	7	538.731	553
Mir664	chr1	180933242	180976695	0.930771	45.4737	6.69219	4	7	538.731	553
Gm34882	chr1	180933242	180992178	0.930771	45.3439	7.67535	4	8	538.731	553
Iars2	chr1	180933242	181063016	0.930771	45.0051	18.3032	4	19	538.731	553
2010103J01Rik	chr1	181017327	181060544	0.930771	46.0985	7.70041	4	8	538.731	553
Mir194-1	chr1	181017327	181044833	0.930771	45.8825	6.71076	4	7	538.731	553
Mir215	chr1	181017327	181060544	0.930771	46.0985	7.70041	4	8	538.731	553
Gm37785	chr1	181060598	181093263	0.930771	43.4218	1.97111	4	2	538.731	553
Bpnt1	chr1	181063307	181094517	0.930771	45.4687	5.92742	4	6	538.731	553
4930532G15Rik	chr1	181095017	181146812	0.930771	49.5031	1.9773	4	2	538.731	553
Eprs	chr1	181100753	181165776	0.930771	47.2857	11.8744	4	12	538.731	553
9630028B13Rik	chr1	181166276	181192208	0.930771	45.9774	1.98079	4	2	538.731	553
Gm2061	chr1	181183758	181223565	0.930771	46.0856	2.97047	4	3	538.731	553
Slc30a10	chr1	181183758	181223565	0.930771	46.0856	2.97047	4	3	538.731	553
5033404E19Rik	chr1	181224065	181432157	0.930771	47.4261	2.93312	4	3	538.731	553
Gm38093	chr1	181474488	181651505	0.930771	50.4591	1.9773	4	2	538.731	553
Lyplal1	chr1	181815785	181844148	0.930771	43.9751	3.90107	4	4	538.731	553
Gm38268	chr1	181815785	181844148	0.930771	43.9751	3.90107	4	4	538.731	553
MGP_FVBNJ_G0036289	chr1	181844648	181898479	0.930771	43.2133	1.58198	4	2	538.731	553
Gm37134	chr1	181898979	182075621	0.930771	39.0569	2.92288	4	3	538.731	553
Gm37272	chr1	181898979	182075621	0.930771	39.0569	2.92288	4	3	538.731	553
Gm37491	chr1	182076121	182237913	0.930771	42.7837	1.96244	4	2	538.731	553
A730004F24Rik	chr1	182238413	182318000	0.930771	52.5618	2.7781	4	3	538.731	553
Tgfb2	chr1	182352466	182445381	0.930771	45.6552	9.76926	4	10	538.731	553
Gm26169	chr1	182352466	182420535	0.930771	45.7223	6.85132	4	7	538.731	553
Gm29491	chr1	182352466	182445381	0.930771	45.6552	9.76926	4	10	538.731	553
Gm37849	chr1	182443502	182472281	0.930771	45.8757	1.9694	4	2	538.731	553
Rrp15	chr1	182453227	182475837	0.930771	46.6276	2.96769	4	3	538.731	553
A430105J06Rik	chr1	182472318	182645607	0.930771	45.4347	1.97548	4	2	538.731	553
1700023G09Rik	chr1	182646107	182683202	0.930771	44.0091	2.95386	4	3	538.731	553
Gm37912	chr1	182683702	182725521	0.930771	43.4789	2.9291	4	3	538.731	553
D1Pas1	chr1	182683702	182725521	0.930771	43.4789	2.9291	4	3	538.731	553
Gm19058	chr1	182726021	182764132	0.930771	43.2942	1.94156	4	2	538.731	553
Spata17	chr1	182764632	182943401	0.930771	44.3636	15.7368	4	16	538.731	553
Gm15508	chr1	182764632	182796101	0.930771	46.3206	3.90587	4	4	538.731	553
Gm43497	chr1	182764632	182803058	0.930771	45.84	4.8824	4	5	538.731	553
Gm43496	chr1	182764632	182823717	0.930771	45.745	5.85861	4	6	538.731	553
Gm15509	chr1	182764632	182839512	0.930771	44.4586	9.80225	4	10	538.731	553
1700007P06Rik	chr1	182764632	182855105	0.930771	44.3938	10.7913	4	11	538.731	553
Gpatch2	chr1	182922779	183105895	0.930771	42.2269	11.7822	4	12	538.731	553
Gm37254	chr1	182922782	183052864	0.930771	43.5413	8.94758	4	9	538.731	553
Gm38155	chr1	182922782	183105895	0.930771	42.0138	10.7891	4	11	538.731	553
Gm37896	chr1	183160864	183332040	0.930771	38.6485	1.97788	4	2	538.731	553
Esrrg	chr1	183332540	183980651	0.930771	42.5866	13.7738	4	14	538.731	553
Gm36388	chr1	183332540	183387476	0.930771	42.3781	4.93386	4	5	538.731	553
Gm37929	chr1	183332540	183559557	0.930771	42.5619	6.84926	4	7	538.731	553
9330162B11Rik	chr1	183332540	183893863	0.930771	42.5822	11.8037	4	12	538.731	553
Gm38315	chr1	183332778	183980651	0.930771	42.6239	12.784	4	13	538.731	553
Gm38064	chr1	183981151	184090136	0.930771	38.4205	1.95469	4	2	538.731	553
Ush2a	chr1	183996998	184728123	0.930771	42.6782	8.81165	4	9	538.731	553
Gm25095	chr1	183998009	184484715	0.930771	43.4347	3.88718	4	4	538.731	553
Gm25269	chr1	183998009	184403559	0.930771	42.3145	1.99524	4	2	538.731	553
Kctd3	chr1	184691234	184785240	0.930771	47.604	10.7434	4	11	538.731	553
Gm37178	chr1	184785740	184799171	0.930771	47.8852	1.96042	4	2	538.731	553
Kcnk2	chr1	184929503	185168113	0.930771	44.7491	11.7724	4	12	538.731	553
2900042K21Rik	chr1	184929503	185066158	0.930771	44.0093	7.86369	4	8	538.731	553
A430027H14Rik	chr1	184929508	185168113	0.930771	44.8244	10.7831	4	11	538.731	553
Gm38122	chr1	185364882	185414254	0.930771	44.3415	1.96255	4	2	538.731	553
Cenpf	chr1	185366138	185457894	0.930771	46.9828	8.79417	4	9	538.731	553
Gm37239	chr1	185366138	185414254	0.930771	47.5074	7.80266	4	8	538.731	553
Ptpn14	chr1	185458394	185612306	0.930771	55.6185	8.19931	4	11	538.731	553
Gm30280	chr1	185458394	185568815	0.930771	64.5576	4.27784	4	7	538.731	553
Gm26574	chr1	185458394	185584678	0.930771	61.2685	5.26523	4	8	538.731	553
Gm37422	chr1	185612806	185655830	0.930771	47.134	4.94282	4	5	538.731	553
Smyd2	chr1	185612806	185855713	0.930771	46.3974	6.91916	4	7	538.731	553
Gm38245	chr1	185613308	185855713	0.930771	46.325	5.93311	4	6	538.731	553
Prox1	chr1	185856213	186147327	0.930771	40.9818	5.88073	4	6	538.731	553
Gm28172	chr1	185856213	185959777	0.930771	41.0194	4.88417	4	5	538.731	553
Prox1os	chr1	185856213	186147327	0.930771	40.9818	5.88073	4	6	538.731	553
Gm29678	chr1	186147827	186189637	0.930771	39.6654	1.95922	4	2	538.731	553
Gm30725	chr1	186164371	186227524	0.930771	40.4086	1.97921	4	2	538.731	553
