gene	chromosome	start	end	log2	depth	weight	cn	probes	segment_weight	segment_probes
4933401J01Rik	chr1	97127	110141	0.406047	23.0456	1.88655	3	2	143.133	149
Gm26206	chr1	123273	161031	0.406047	27.3433	1.7299	3	2	143.133	149
Xkr4	chr1	225199	689232	0.406047	27.9142	17.6913	3	18	143.133	149
Gm18956	chr1	233780	292277	0.406047	25.008	2.91364	3	3	143.133	149
Gm37180	chr1	233780	392039	0.406047	26.8041	4.85667	3	5	143.133	149
Gm37363	chr1	233780	477754	0.406047	27.2885	5.85104	3	6	143.133	149
Gm37686	chr1	233780	525354	0.406047	27.7829	8.79963	3	9	143.133	149
Gm1992	chr1	233780	541336	0.406047	27.7683	9.7866	3	10	143.133	149
Gm37329	chr1	233780	541336	0.406047	27.7683	9.7866	3	10	143.133	149
Slc35e3	chr1	233780	604453	0.406047	27.9441	11.7578	3	12	143.133	149
Gm38148	chr1	233780	656406	0.406047	27.8146	13.7301	3	14	143.133	149
Gm19938	chr1	233780	689232	0.406047	27.9916	15.7107	3	16	143.133	149
Gm10568	chr1	689732	757818	0.406047	31.884	1.8196	3	2	143.133	149
Gm38385	chr1	758318	771902	0.406047	27.7651	1.95327	3	2	143.133	149
Gm27396	chr1	791557	1006155	0.406047	26.6255	1.85839	3	2	143.133	149
MGP_FVBNJ_G0015656	chr1	1006655	1259995	0.406047	25.0061	1.96632	3	2	143.133	149
Gm6101	chr1	1260495	1291893	0.406047	28.5552	1.95103	3	2	143.133	149
Rp1	chr1	1292393	1429399	0.406047	28.7401	3.95227	3	4	143.133	149
Gm37483	chr1	1292393	1429399	0.406047	28.7401	3.95227	3	4	143.133	149
Sox17	chr1	1481671	1490306	0.406047	29.9761	9.80667	3	10	143.133	149
Gm37587	chr1	1481990	1512969	0.406047	29.9368	9.80666	3	10	143.133	149
Gm7357	chr1	1513469	1519692	0.406047	55.8334	0.786215	3	2	143.133	149
MGP_FVBNJ_G0036886	chr1	1519585	1525664	0.406047	32.0583	1.33668	3	2	143.133	149
Gm38076	chr1	1525214	1546850	0.406047	25.7594	1.91491	3	2	143.133	149
Gm37323	chr1	1573786	1599223	0.406047	30.4097	1.96266	3	2	143.133	149
Gm7369	chr1	1599723	1675645	0.406047	28.9302	1.96234	3	2	143.133	149
Gm6085	chr1	1676145	1682259	0.406047	22.4407	1.65869	3	2	143.133	149
Gm6119	chr1	1681053	1697571	0.406047	25.4444	1.95372	3	2	143.133	149
MGP_FVBNJ_G0036887	chr1	1713461	1723707	0.406047	34.1501	1.86306	3	2	143.133	149
Gm2053	chr1	1723076	1762081	0.406047	30.5591	1.94419	3	2	143.133	149
Gm6123	chr1	1762581	1778254	0.406047	26.2555	1.85223	3	2	143.133	149
Mrpl15	chr1	1765105	1801459	0.406047	31.1138	8.28179	3	9	143.133	149
